year,cause,deaths
1996,Diseases of the genitourinary system,44538
1996,"Complications of pregnancy, childbirth, and the puerperium",294
1996,Diseases of the skin and subcutaneous tissue,3171
1996,Diseases of the musculoskeletal system and connective tissue,9508
1996,Congenital anomalies,11836
1996,Certain conditions originating in the perinatal period,13069
1996,"Symptoms, signs, and ill-defined conditions",26190
1996,External causes of injury and poisoning,150298
1997,Infectious and parasitic diseases,52371
1997,Neoplasms,547236
1997,"Endocrine, nutritional and metabolic diseases, and immunity disorders",84967
1997,Diseases of the blood and blood-forming organs,10251
1997,Mental disorders,47481
1997,Diseases of the nervous system and sense organs,56245
1997,Diseases of the circulatory system,948412
1997,Diseases of the respiratory system,227942
1997,Diseases of the digestive system,79069
1997,Diseases of the genitourinary system,46353
1997,"Complications of pregnancy, childbirth, and the puerperium",327
1997,Diseases of the skin and subcutaneous tissue,3109
1997,Diseases of the musculoskeletal system and connective tissue,10035
1997,Congenital anomalies,11912
1997,Certain conditions originating in the perinatal period,13092
1997,"Symptoms, signs, and ill-defined conditions",25752
1997,External causes of injury and poisoning,149691
1998,Infectious and parasitic diseases,51252
1998,Neoplasms,549465
1998,"Endocrine, nutritional and metabolic diseases, and immunity disorders",88158
1998,Diseases of the blood and blood-forming organs,10637
1998,Mental disorders,52819
1998,Diseases of the nervous system and sense organs,57762
1998,Diseases of the circulatory system,944962
1998,Diseases of the respiratory system,238999
1998,Diseases of the digestive system,79357
1998,Diseases of the genitourinary system,48377
1998,"Complications of pregnancy, childbirth, and the puerperium",281
1998,Diseases of the skin and subcutaneous tissue,3222
1998,Diseases of the musculoskeletal system and connective tissue,10166
1998,Congenital anomalies,11934
1998,Certain conditions originating in the perinatal period,13428
1998,"Symptoms, signs, and ill-defined conditions",25992
1998,External causes of injury and poisoning,150445
1999,Certain infectious and parasitic diseases,59984
1999,Neoplasms,563065
1999,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9067
1999,"Endocrine, nutritional and metabolic diseases",92872
