year,month,place,deaths
2023,10,Medical Facility - Inpatient,74798
2023,10,Medical Facility - Outpatient or ER,15172
2023,10,Nursing home/long term care,44743
2023,10,Other,18696
2023,10,Place of death unknown,28
2023,11,Decedent's home,88369
2023,11,Hospice facility,17283
2023,11,Medical Facility - Dead on Arrival,615
2023,11,Medical Facility - Inpatient,75559
2023,11,Medical Facility - Outpatient or ER,15575
2023,11,Nursing home/long term care,44839
2023,11,Other,18009
2023,11,Place of death unknown,29
2023,12,Decedent's home,96546
2023,12,Hospice facility,18518
2023,12,Medical Facility - Dead on Arrival,667
2023,12,Medical Facility - Inpatient,85445
2023,12,Medical Facility - Outpatient or ER,17286
2023,12,Nursing home/long term care,48423
2023,12,Other,19369
2023,12,Place of death unknown,23
2024,1,Decedent's home,99945
2024,1,Hospice facility,19354
2024,1,Medical Facility - Dead on Arrival,624
2024,1,Medical Facility - Inpatient,90707
2024,1,Medical Facility - Outpatient or ER,17681
2024,1,Nursing home/long term care,49980
2024,1,Other,19259
2024,1,Place of death unknown,44
2024,2,Decedent's home,87814
2024,2,Hospice facility,17899
2024,2,Medical Facility - Dead on Arrival,579
2024,2,Medical Facility - Inpatient,75910
2024,2,Medical Facility - Outpatient or ER,14974
2024,2,Nursing home/long term care,43287
2024,2,Other,17325
2024,2,Place of death unknown,22
2024,3,Decedent's home,90676
2024,3,Hospice facility,18622
2024,3,Medical Facility - Dead on Arrival,598
2024,3,Medical Facility - Inpatient,77580
2024,3,Medical Facility - Outpatient or ER,15150
2024,3,Nursing home/long term care,45170
2024,3,Other,18149
2024,3,Place of death unknown,21
2024,4,Decedent's home,86394
2024,4,Hospice facility,17775
2024,4,Medical Facility - Dead on Arrival,544
2024,4,Medical Facility - Inpatient,72531
2024,4,Medical Facility - Outpatient or ER,14123
2024,4,Nursing home/long term care,42501
2024,4,Other,17743
2024,4,Place of death unknown,21
2024,5,Decedent's home,87666
2024,5,Hospice facility,17648
2024,5,Medical Facility - Dead on Arrival,515
2024,5,Medical Facility - Inpatient,72140
2024,5,Medical Facility - Outpatient or ER,14548
2024,5,Nursing home/long term care,42180
2024,5,Other,17948
2024,5,Place of death unknown,23
2024,6,Decedent's home,84766
2024,6,Hospice facility,17104
2024,6,Medical Facility - Dead on Arrival,528
2024,6,Medical Facility - Inpatient,69294
2024,6,Medical Facility - Outpatient or ER,14137
2024,6,Nursing home/long term care,40943
2024,6,Other,18235
2024,6,Place of death unknown,62
2024,7,Decedent's home,87162
2024,7,Hospice facility,17401
2024,7,Medical Facility - Dead on Arrival,557
2024,7,Medical Facility - Inpatient,71321
2024,7,Medical Facility - Outpatient or ER,14367
2024,7,Nursing home/long term care,41865
2024,7,Other,18417
2024,7,Place of death unknown,134
2024,8,Decedent's home,87662
2024,8,Hospice facility,17677
2024,8,Medical Facility - Dead on Arrival,499
2024,8,Medical Facility - Inpatient,72013
2024,8,Medical Facility - Outpatient or ER,14186
2024,8,Nursing home/long term care,43295
2024,8,Other,17727
2024,8,Place of death unknown,28
2024,9,Decedent's home,84259
2024,9,Hospice facility,16892
2024,9,Medical Facility - Dead on Arrival,500
2024,9,Medical Facility - Inpatient,70187
2024,9,Medical Facility - Outpatient or ER,13850
2024,9,Nursing home/long term care,41927
2024,9,Other,16835
2024,9,Place of death unknown,28
2024,10,Decedent's home,87729
2024,10,Hospice facility,17645
2024,10,Medical Facility - Dead on Arrival,537
2024,10,Medical Facility - Inpatient,74405
2024,10,Medical Facility - Outpatient or ER,14763
2024,10,Nursing home/long term care,44729
2024,10,Other,17346
2024,10,Place of death unknown,36
2024,11,Decedent's home,86489
2024,11,Hospice facility,17195
2024,11,Medical Facility - Dead on Arrival,554
2024,11,Medical Facility - Inpatient,71430
2024,11,Medical Facility - Outpatient or ER,14350
2024,11,Nursing home/long term care,43971
2024,11,Other,16517
2024,11,Place of death unknown,24
2024,12,Decedent's home,95105
2024,12,Hospice facility,18039
2024,12,Medical Facility - Dead on Arrival,606
2024,12,Medical Facility - Inpatient,81328
2024,12,Medical Facility - Outpatient or ER,16974
2024,12,Nursing home/long term care,48547
2024,12,Other,17606
2024,12,Place of death unknown,17
