year,rank,cause,deaths
2017,4,External causes of morbidity and mortality,247496
2017,5,Diseases of the nervous system,216353
2018,1,Diseases of the circulatory system,868662
2018,2,Neoplasms,614914
2018,3,Diseases of the respiratory system,282641
2018,4,External causes of morbidity and mortality,245186
2018,5,Diseases of the nervous system,224937
2019,1,Diseases of the circulatory system,874613
2019,2,Neoplasms,615191
2019,3,Diseases of the respiratory system,271026
2019,4,External causes of morbidity and mortality,251350
2019,5,Diseases of the nervous system,233715
2020,1,Diseases of the circulatory system,928741
2020,2,Neoplasms,618579
2020,3,Codes for special purposes,350921
2020,4,External causes of morbidity and mortality,283705
2020,5,Diseases of the respiratory system,270506
2021,1,Diseases of the circulatory system,931578
2021,2,Neoplasms,621450
2021,3,Codes for special purposes,416927
2021,4,External causes of morbidity and mortality,312137
2021,5,Diseases of the nervous system,251546
2022,1,Diseases of the circulatory system,941652
2022,2,Neoplasms,624405
2022,3,External causes of morbidity and mortality,311511
2022,4,Diseases of the nervous system,264446
2022,5,Diseases of the respiratory system,263381
2023,1,Diseases of the circulatory system,915973
2023,2,Neoplasms,629491
2023,3,External causes of morbidity and mortality,303858
2023,4,Diseases of the nervous system,263614
2023,5,Diseases of the respiratory system,261113
2024,1,Diseases of the circulatory system,922403
2024,2,Neoplasms,636120
2024,3,Diseases of the nervous system,277632
2024,4,External causes of morbidity and mortality,275018
2024,5,Diseases of the respiratory system,264752
