year,drug_code,drug_name,deaths,provisional
2015,T40.7,Cannabis,560,false
2015,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",6804,false
2016,T40.1,Heroin,15717,false
2016,T40.2,Other opioids (natural & semi-synthetic),15114,false
2016,T40.3,Methadone,3520,false
2016,T40.4,Synthetic opioids excl. methadone (fentanyl),19720,false
2016,T40.5,Cocaine,11201,false
2016,T40.7,Cannabis,717,false
2016,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",8865,false
2017,T40.1,Heroin,15690,false
2017,T40.2,Other opioids (natural & semi-synthetic),15115,false
2017,T40.3,Methadone,3336,false
2017,T40.4,Synthetic opioids excl. methadone (fentanyl),28869,false
2017,T40.5,Cocaine,14879,false
2017,T40.7,Cannabis,862,false
2017,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",11956,false
2018,T40.1,Heroin,15220,false
2018,T40.2,Other opioids (natural & semi-synthetic),13119,false
2018,T40.3,Methadone,3147,false
2018,T40.4,Synthetic opioids excl. methadone (fentanyl),31814,false
2018,T40.5,Cocaine,15617,false
2018,T40.7,Cannabis,1036,false
2018,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",14646,false
2019,T40.1,Heroin,14233,false
2019,T40.2,Other opioids (natural & semi-synthetic),12487,false
2019,T40.3,Methadone,2893,false
2019,T40.4,Synthetic opioids excl. methadone (fentanyl),36883,false
2019,T40.5,Cocaine,16912,false
2019,T40.7,Cannabis,1101,false
2019,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",18386,false
2020,T40.1,Heroin,13393,false
2020,T40.2,Other opioids (natural & semi-synthetic),14019,false
2020,T40.3,Methadone,3710,false
2020,T40.4,Synthetic opioids excl. methadone (fentanyl),57390,false
2020,T40.5,Cocaine,20523,false
2020,T40.7,Cannabis,1302,false
2020,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",26575,false
2021,T40.1,Heroin,9352,true
2021,T40.2,Other opioids (natural & semi-synthetic),14204,true
2021,T40.3,Methadone,3860,true
2021,T40.4,Synthetic opioids excl. methadone (fentanyl),72204,true
2021,T40.5,Cocaine,26083,true
2021,T40.7,Cannabis,1450,true
2021,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",35840,true
2022,T40.1,Heroin,5986,true
2022,T40.2,Other opioids (natural & semi-synthetic),12394,true
2022,T40.3,Methadone,3465,true
2022,T40.4,Synthetic opioids excl. methadone (fentanyl),75572,true
2022,T40.5,Cocaine,29306,true
2022,T40.7,Cannabis,1438,true
