sex,sex_label,race,race_label,site,site_label,age_range,rate,rate_lower_ci,rate_upper_ci,count,rate_se,rate_type,rate_type_label,subtype,subtype_label
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,204,0.148112,0.116499,0.185660,75,0.017102,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,205,0.273817,0.229888,0.323697,137,0.023393,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,206,0.394424,0.342878,0.451531,210,0.027217,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,207,0.654446,0.588401,0.725875,358,0.034588,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,208,0.952258,0.870768,1.039321,502,0.042501,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,209,1.581982,1.473101,1.696782,783,0.056535,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,210,2.585674,2.441960,2.735638,1209,0.074363,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,211,4.465511,4.277646,4.659502,2125,0.096870,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,212,6.761195,6.530510,6.997948,3244,0.118708,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,213,9.273722,8.997404,9.556368,4263,0.142035,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,214,12.000709,11.659829,12.349025,4694,0.175160,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,215,14.382982,13.965323,14.809959,4490,0.214647,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,216,16.348040,15.809654,16.900084,3484,0.276966,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,217,14.820823,14.175773,15.487656,1984,0.332737,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,218,11.870608,11.119848,12.658720,930,0.389252,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,219,6.157742,5.501473,6.870750,320,0.344228,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,200,1.379452,1.142761,1.650720,119,0.126454,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,201,2.297912,2.144039,2.459913,828,0.079857,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,202,2.037061,1.911187,2.169047,975,0.065238,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,203,1.601689,1.492942,1.716264,805,0.056452,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,204,1.196748,1.103349,1.295941,606,0.048614,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,205,0.931380,0.848725,1.019910,466,0.043145,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,206,1.046163,0.961075,1.136764,557,0.044327,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,207,1.239425,1.147875,1.336335,678,0.047599,1,Observed SEER Incidence Rate,662,Other Glioma
