"geoid","name","intent","period","count_sup","rate","data_as_of","ttm_date_range"
"05","Arkansas","FA_Deaths","2020","673","22.30000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Deaths","2021","698","23.00000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Deaths","2022","666","21.90000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Deaths","2023","671","21.90000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Deaths","2024","638","20.80000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Deaths","TTM","586","19.10000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"05","Arkansas","FA_Homicide","2019","208","6.900000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Homicide","2020","282","9.400000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Homicide","2021","281","9.300000000000001","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Homicide","2022","290","9.500000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Homicide","2023","265","8.600000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Homicide","2024","211","6.900000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Homicide","TTM","185","6.000000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"05","Arkansas","FA_Suicide","2019","341","11.30000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Suicide","2020","364","12.10000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Suicide","2021","391","12.90000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Suicide","2022","341","11.20000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Suicide","2023","394","12.80000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Suicide","2024","402","13.10000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","FA_Suicide","TTM","374","12.20000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"06","California","All_Homicide","2019","1794","4.500000000000000","2026-05-14T00:00:00.000",
"06","California","All_Homicide","2020","2368","6.000000000000000","2026-05-14T00:00:00.000",
"06","California","All_Homicide","2021","2495","6.400000000000000","2026-05-14T00:00:00.000",
"06","California","All_Homicide","2022","2304","5.900000000000000","2026-05-14T00:00:00.000",
"06","California","All_Homicide","2023","1972","5.100000000000000","2026-05-14T00:00:00.000",
"06","California","All_Homicide","2024","1768","4.500000000000000","2026-05-14T00:00:00.000",
"06","California","All_Homicide","TTM","1466","3.800000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"06","California","All_Suicide","2019","4436","11.20000000000000","2026-05-14T00:00:00.000",
"06","California","All_Suicide","2020","4144","10.50000000000000","2026-05-14T00:00:00.000",
"06","California","All_Suicide","2021","4148","10.60000000000000","2026-05-14T00:00:00.000",
"06","California","All_Suicide","2022","4312","11.00000000000000","2026-05-14T00:00:00.000",
"06","California","All_Suicide","2023","4200","10.80000000000000","2026-05-14T00:00:00.000",
"06","California","All_Suicide","2024","4022","10.30000000000000","2026-05-14T00:00:00.000",
"06","California","All_Suicide","TTM","3906","10.00000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"06","California","Drug_OD","2019","5688","14.40000000000000","2026-05-14T00:00:00.000",
"06","California","Drug_OD","2020","8486","21.50000000000000","2026-05-14T00:00:00.000",
