"week_end","condition","percent_visits","age_group"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","2.1","Adults 18-49"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","1.4","Adults 50-64"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","2.8","Overall"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","13.4","Infants 0-1"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","11.2","Kids 2-4"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","6.1","Kids 5-17"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","2.3","Adults 18-49"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","1.4","Adults 50-64"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-02-10T00:00:00.000","Acute upper respiratory infection","3.0","Overall"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","14.0","Infants 0-1"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","10.9","Kids 2-4"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","6.2","Kids 5-17"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","2.3","Adults 18-49"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","1.4","Adults 50-64"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-02-17T00:00:00.000","Acute upper respiratory infection","2.9","Overall"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","14.4","Infants 0-1"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","11.1","Kids 2-4"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","6.0","Kids 5-17"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","2.4","Adults 18-49"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","1.5","Adults 50-64"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","0.9","Seniors 65+"
"2024-02-24T00:00:00.000","Acute upper respiratory infection","3.0","Overall"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","14.2","Infants 0-1"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","10.6","Kids 2-4"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","5.5","Kids 5-17"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","2.3","Adults 18-49"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","1.4","Adults 50-64"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-03-02T00:00:00.000","Acute upper respiratory infection","2.9","Overall"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","13.6","Infants 0-1"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","10.6","Kids 2-4"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","5.4","Kids 5-17"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","2.0","Adults 18-49"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","1.3","Adults 50-64"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-03-09T00:00:00.000","Acute upper respiratory infection","2.7","Overall"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","14.1","Infants 0-1"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","10.9","Kids 2-4"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","5.2","Kids 5-17"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","1.9","Adults 18-49"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","1.2","Adults 50-64"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-03-16T00:00:00.000","Acute upper respiratory infection","2.6","Overall"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","14.4","Infants 0-1"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","10.9","Kids 2-4"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","5.1","Kids 5-17"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","1.9","Adults 18-49"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","1.2","Adults 50-64"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-03-23T00:00:00.000","Acute upper respiratory infection","2.6","Overall"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","14.5","Infants 0-1"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","10.6","Kids 2-4"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","4.8","Kids 5-17"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","1.8","Adults 18-49"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","1.1","Adults 50-64"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-03-30T00:00:00.000","Acute upper respiratory infection","2.5","Overall"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","14.3","Infants 0-1"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","10.2","Kids 2-4"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","4.3","Kids 5-17"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","1.8","Adults 18-49"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","1.2","Adults 50-64"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-04-06T00:00:00.000","Acute upper respiratory infection","2.4","Overall"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","14.2","Infants 0-1"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","10.1","Kids 2-4"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","4.2","Kids 5-17"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","1.7","Adults 18-49"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","1.1","Adults 50-64"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-04-13T00:00:00.000","Acute upper respiratory infection","2.3","Overall"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","13.7","Infants 0-1"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","9.5","Kids 2-4"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","4.0","Kids 5-17"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","1.5","Adults 18-49"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","1.0","Adults 50-64"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-04-20T00:00:00.000","Acute upper respiratory infection","2.2","Overall"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","14.0","Infants 0-1"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","9.9","Kids 2-4"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","4.5","Kids 5-17"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","1.6","Adults 18-49"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","1.0","Adults 50-64"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-04-27T00:00:00.000","Acute upper respiratory infection","2.3","Overall"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","13.6","Infants 0-1"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","9.4","Kids 2-4"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","4.3","Kids 5-17"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","1.5","Adults 18-49"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","0.9","Adults 50-64"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2024-05-04T00:00:00.000","Acute upper respiratory infection","2.2","Overall"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","13.6","Infants 0-1"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","9.1","Kids 2-4"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","4.2","Kids 5-17"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","1.5","Adults 18-49"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","0.9","Adults 50-64"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2024-05-11T00:00:00.000","Acute upper respiratory infection","2.1","Overall"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","12.9","Infants 0-1"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","8.7","Kids 2-4"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","4.0","Kids 5-17"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","1.5","Adults 18-49"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","0.9","Adults 50-64"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2024-05-18T00:00:00.000","Acute upper respiratory infection","2.1","Overall"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","12.6","Infants 0-1"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","8.4","Kids 2-4"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","3.7","Kids 5-17"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","1.4","Adults 18-49"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","0.9","Adults 50-64"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2024-05-25T00:00:00.000","Acute upper respiratory infection","1.9","Overall"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","12.7","Infants 0-1"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","8.3","Kids 2-4"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","3.5","Kids 5-17"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","1.4","Adults 18-49"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","0.9","Adults 50-64"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2024-06-01T00:00:00.000","Acute upper respiratory infection","1.9","Overall"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","11.6","Infants 0-1"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","7.4","Kids 2-4"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","3.0","Kids 5-17"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","1.2","Adults 18-49"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","0.8","Adults 50-64"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2024-06-08T00:00:00.000","Acute upper respiratory infection","1.7","Overall"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","10.9","Infants 0-1"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","6.7","Kids 2-4"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","2.5","Kids 5-17"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","1.2","Adults 18-49"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-06-15T00:00:00.000","Acute upper respiratory infection","1.5","Overall"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","10.1","Infants 0-1"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","6.4","Kids 2-4"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","2.2","Kids 5-17"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","1.0","Adults 18-49"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-06-22T00:00:00.000","Acute upper respiratory infection","1.4","Overall"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","9.0","Infants 0-1"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","5.5","Kids 2-4"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","2.0","Kids 5-17"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","1.0","Adults 18-49"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
