"influenza_season","start_date","end_date","reporting_timeframe","week","week_sort_order","current_season_week_ending_label","cumulative_flu_doses","current_through"
"2018-2019","2019-02-03T00:00:00.000","2019-02-09T00:00:00.000","2019-02-03 - 2019-02-09","5","28","2024-02-10T00:00:00.000","170.3","2023-03-04T00:00:00.000"
"2018-2019","2019-02-10T00:00:00.000","2019-02-16T00:00:00.000","2019-02-10 - 2019-02-16","6","29","2024-02-17T00:00:00.000","170.48","2023-03-04T00:00:00.000"
"2018-2019","2019-02-17T00:00:00.000","2019-02-23T00:00:00.000","2019-02-17 - 2019-02-23","7","30","2024-02-24T00:00:00.000","170.62","2023-03-04T00:00:00.000"
"2018-2019","2019-02-24T00:00:00.000","2019-03-02T00:00:00.000","2019-02-24 - 2019-03-02","8","31","2024-03-02T00:00:00.000","170.73","2023-03-04T00:00:00.000"
"2018-2019","2019-03-03T00:00:00.000","2019-03-09T00:00:00.000","2019-03-03 - 2019-03-09","9","32","2024-03-09T00:00:00.000","170.73","2023-03-04T00:00:00.000"
"2019-2020","2019-07-28T00:00:00.000","2019-08-03T00:00:00.000","2019-07-28 - 2019-08-03","30","1","2023-08-05T00:00:00.000","4.12","2024-03-09T00:00:00.000"
"2019-2020","2019-08-04T00:00:00.000","2019-08-10T00:00:00.000","2019-08-04 - 2019-08-10","31","2","2023-08-12T00:00:00.000","8.74","2024-03-09T00:00:00.000"
"2019-2020","2019-08-11T00:00:00.000","2019-08-17T00:00:00.000","2019-08-11 - 2019-08-17","32","3","2023-08-19T00:00:00.000","14.98","2024-03-09T00:00:00.000"
"2019-2020","2019-08-18T00:00:00.000","2019-08-24T00:00:00.000","2019-08-18 - 2019-08-24","33","4","2023-08-26T00:00:00.000","26.9","2024-03-09T00:00:00.000"
"2019-2020","2019-08-25T00:00:00.000","2019-08-31T00:00:00.000","2019-08-25 - 2019-08-31","34","5","2023-09-02T00:00:00.000","41.82","2024-03-09T00:00:00.000"
"2019-2020","2019-09-01T00:00:00.000","2019-09-07T00:00:00.000","2019-09-01 - 2019-09-07","35","6","2023-09-09T00:00:00.000","51.8","2024-03-09T00:00:00.000"
"2019-2020","2019-09-08T00:00:00.000","2019-09-14T00:00:00.000","2019-09-08 - 2019-09-14","36","7","2023-09-16T00:00:00.000","63.13","2024-03-09T00:00:00.000"
"2019-2020","2019-09-15T00:00:00.000","2019-09-21T00:00:00.000","2019-09-15 - 2019-09-21","37","8","2023-09-23T00:00:00.000","76.18","2024-03-09T00:00:00.000"
"2019-2020","2019-09-22T00:00:00.000","2019-09-28T00:00:00.000","2019-09-22 - 2019-09-28","38","9","2023-09-30T00:00:00.000","94.31","2024-03-09T00:00:00.000"
"2019-2020","2019-09-29T00:00:00.000","2019-10-05T00:00:00.000","2019-09-29 - 2019-10-05","39","10","2023-10-07T00:00:00.000","109.68","2024-03-09T00:00:00.000"
"2019-2020","2019-10-06T00:00:00.000","2019-10-12T00:00:00.000","2019-10-06 - 2019-10-12","40","11","2023-10-14T00:00:00.000","122.75","2024-03-09T00:00:00.000"
"2019-2020","2019-10-13T00:00:00.000","2019-10-19T00:00:00.000","2019-10-13 - 2019-10-19","41","12","2023-10-21T00:00:00.000","134.81","2024-03-09T00:00:00.000"
"2019-2020","2019-10-20T00:00:00.000","2019-10-26T00:00:00.000","2019-10-20 - 2019-10-26","42","13","2023-10-28T00:00:00.000","144.4","2024-03-09T00:00:00.000"
"2019-2020","2019-10-27T00:00:00.000","2019-11-02T00:00:00.000","2019-10-27 - 2019-11-02","43","14","2023-11-04T00:00:00.000","151.9","2024-03-09T00:00:00.000"
"2019-2020","2019-11-03T00:00:00.000","2019-11-09T00:00:00.000","2019-11-03 - 2019-11-09","44","15","2023-11-11T00:00:00.000","159.55","2024-03-09T00:00:00.000"
"2019-2020","2019-11-10T00:00:00.000","2019-11-16T00:00:00.000","2019-11-10 - 2019-11-16","45","16","2023-11-18T00:00:00.000","164.88","2024-03-09T00:00:00.000"
"2019-2020","2019-11-17T00:00:00.000","2019-11-23T00:00:00.000","2019-11-17 - 2019-11-23","46","17","2023-11-25T00:00:00.000","167.71","2024-03-09T00:00:00.000"
"2019-2020","2019-11-24T00:00:00.000","2019-11-30T00:00:00.000","2019-11-24 - 2019-11-30","47","18","2023-12-02T00:00:00.000","168.52","2024-03-09T00:00:00.000"
"2019-2020","2019-12-01T00:00:00.000","2019-12-07T00:00:00.000","2019-12-01 - 2019-12-07","48","19","2023-12-09T00:00:00.000","169.98","2024-03-09T00:00:00.000"
"2019-2020","2019-12-08T00:00:00.000","2019-12-14T00:00:00.000","2019-12-08 - 2019-12-14","49","20","2023-12-16T00:00:00.000","170.96","2024-03-09T00:00:00.000"
"2019-2020","2019-12-15T00:00:00.000","2019-12-21T00:00:00.000","2019-12-15 - 2019-12-21","50","21","2023-12-23T00:00:00.000","171.72","2024-03-09T00:00:00.000"
"2019-2020","2019-12-22T00:00:00.000","2019-12-28T00:00:00.000","2019-12-22 - 2019-12-28","51","22","2023-12-30T00:00:00.000","171.92","2024-03-09T00:00:00.000"
"2019-2020","2019-12-29T00:00:00.000","2020-01-04T00:00:00.000","2019-12-29 - 2020-01-04","52","23","2024-01-06T00:00:00.000","172.07","2024-03-09T00:00:00.000"
"2019-2020","2020-01-05T00:00:00.000","2020-01-11T00:00:00.000","2020-01-05 - 2020-01-11","1","24","2024-01-13T00:00:00.000","172.97","2024-03-09T00:00:00.000"
"2019-2020","2020-01-12T00:00:00.000","2020-01-18T00:00:00.000","2020-01-12 - 2020-01-18","2","25","2024-01-20T00:00:00.000","173.5","2024-03-09T00:00:00.000"
"2019-2020","2020-01-19T00:00:00.000","2020-01-25T00:00:00.000","2020-01-19 - 2020-01-25","3","26","2024-01-27T00:00:00.000","173.82","2024-03-09T00:00:00.000"
"2019-2020","2020-01-26T00:00:00.000","2020-02-01T00:00:00.000","2020-01-26 - 2020-02-01","4","27","2024-02-03T00:00:00.000","174.2","2024-03-09T00:00:00.000"
"2019-2020","2020-02-02T00:00:00.000","2020-02-08T00:00:00.000","2020-02-02 - 2020-02-08","5","28","2024-02-10T00:00:00.000","174.52","2024-03-09T00:00:00.000"
"2019-2020","2020-02-09T00:00:00.000","2020-02-15T00:00:00.000","2020-02-09 - 2020-02-15","6","29","2024-02-17T00:00:00.000","174.77","2024-03-09T00:00:00.000"
"2019-2020","2020-02-16T00:00:00.000","2020-02-22T00:00:00.000","2020-02-16 - 2020-02-22","7","30","2024-02-24T00:00:00.000","174.95","2024-03-09T00:00:00.000"
"2019-2020","2020-02-23T00:00:00.000","2020-02-29T00:00:00.000","2020-02-23 - 2020-02-29","8","31","2024-03-02T00:00:00.000","175.13","2024-03-09T00:00:00.000"
"2019-2020","2020-03-01T00:00:00.000","2020-03-07T00:00:00.000","2020-03-01 - 2020-03-07","9","32","2024-03-09T00:00:00.000","175.15","2024-03-09T00:00:00.000"
"2020-2021","2020-07-26T00:00:00.000","2020-08-01T00:00:00.000","2020-07-26 - 2020-08-01","30","1","2023-07-29T00:00:00.000","0.5","2024-03-09T00:00:00.000"
"2020-2021","2020-08-02T00:00:00.000","2020-08-08T00:00:00.000","2020-08-02 - 2020-08-08","31","2","2023-08-05T00:00:00.000","5.2","2024-03-09T00:00:00.000"
"2020-2021","2020-08-09T00:00:00.000","2020-08-15T00:00:00.000","2020-08-09 - 2020-08-15","32","3","2023-08-12T00:00:00.000","12.74","2024-03-09T00:00:00.000"
"2020-2021","2020-08-16T00:00:00.000","2020-08-22T00:00:00.000","2020-08-16 - 2020-08-22","33","4","2023-08-19T00:00:00.000","24.92","2024-03-09T00:00:00.000"
"2020-2021","2020-08-23T00:00:00.000","2020-08-29T00:00:00.000","2020-08-23 - 2020-08-29","34","5","2023-08-26T00:00:00.000","39.86","2024-03-09T00:00:00.000"
"2020-2021","2020-08-30T00:00:00.000","2020-09-05T00:00:00.000","2020-08-30 - 2020-09-05","35","6","2023-09-02T00:00:00.000","57.94","2024-03-09T00:00:00.000"
"2020-2021","2020-09-06T00:00:00.000","2020-09-12T00:00:00.000","2020-09-06 - 2020-09-12","36","7","2023-09-09T00:00:00.000","72.01","2024-03-09T00:00:00.000"
"2020-2021","2020-09-13T00:00:00.000","2020-09-19T00:00:00.000","2020-09-13 - 2020-09-19","37","8","2023-09-16T00:00:00.000","88.48","2024-03-09T00:00:00.000"
"2020-2021","2020-09-20T00:00:00.000","2020-09-26T00:00:00.000","2020-09-20 - 2020-09-26","38","9","2023-09-23T00:00:00.000","106.57","2024-03-09T00:00:00.000"
"2020-2021","2020-09-27T00:00:00.000","2020-10-03T00:00:00.000","2020-09-27 - 2020-10-03","39","10","2023-09-30T00:00:00.000","125.33","2024-03-09T00:00:00.000"
"2020-2021","2020-10-04T00:00:00.000","2020-10-10T00:00:00.000","2020-10-04 - 2020-10-10","40","11","2023-10-07T00:00:00.000","140.62","2024-03-09T00:00:00.000"
"2020-2021","2020-10-11T00:00:00.000","2020-10-17T00:00:00.000","2020-10-11 - 2020-10-17","41","12","2023-10-14T00:00:00.000","155.75","2024-03-09T00:00:00.000"
"2020-2021","2020-10-18T00:00:00.000","2020-10-24T00:00:00.000","2020-10-18 - 2020-10-24","42","13","2023-10-21T00:00:00.000","165.46","2024-03-09T00:00:00.000"
"2020-2021","2020-10-25T00:00:00.000","2020-10-31T00:00:00.000","2020-10-25 - 2020-10-31","43","14","2023-10-28T00:00:00.000","173.23","2024-03-09T00:00:00.000"
"2020-2021","2020-11-01T00:00:00.000","2020-11-07T00:00:00.000","2020-11-01 - 2020-11-07","44","15","2023-11-04T00:00:00.000","180.55","2024-03-09T00:00:00.000"
"2020-2021","2020-11-08T00:00:00.000","2020-11-14T00:00:00.000","2020-11-08 - 2020-11-14","45","16","2023-11-11T00:00:00.000","183.59","2024-03-09T00:00:00.000"
"2020-2021","2020-11-15T00:00:00.000","2020-11-21T00:00:00.000","2020-11-15 - 2020-11-21","46","17","2023-11-18T00:00:00.000","187.33","2024-03-09T00:00:00.000"
"2020-2021","2020-11-22T00:00:00.000","2020-11-28T00:00:00.000","2020-11-22 - 2020-11-28","47","18","2023-11-25T00:00:00.000","188.44","2024-03-09T00:00:00.000"
"2020-2021","2020-11-29T00:00:00.000","2020-12-05T00:00:00.000","2020-11-29 - 2020-12-05","48","19","2023-12-02T00:00:00.000","189.84","2024-03-09T00:00:00.000"
"2020-2021","2020-12-06T00:00:00.000","2020-12-12T00:00:00.000","2020-12-06 - 2020-12-12","49","20","2023-12-09T00:00:00.000","190.76","2024-03-09T00:00:00.000"
"2020-2021","2020-12-13T00:00:00.000","2020-12-19T00:00:00.000","2020-12-13 - 2020-12-19","50","21","2023-12-16T00:00:00.000","192.59","2024-03-09T00:00:00.000"
"2020-2021","2020-12-20T00:00:00.000","2020-12-26T00:00:00.000","2020-12-20 - 2020-12-26","51","22","2023-12-23T00:00:00.000","192.72","2024-03-09T00:00:00.000"
"2020-2021","2020-12-27T00:00:00.000","2021-01-02T00:00:00.000","2020-12-27 - 2021-01-02","52","23","2023-12-30T00:00:00.000","192.91","2024-03-09T00:00:00.000"
"2020-2021","2021-01-03T00:00:00.000","2021-01-09T00:00:00.000","2021-01-03 - 2021-01-09","1","24","2024-01-06T00:00:00.000","193.37","2024-03-09T00:00:00.000"
"2020-2021","2021-01-10T00:00:00.000","2021-01-16T00:00:00.000","2021-01-10 - 2021-01-16","2","25","2024-01-13T00:00:00.000","193.57","2024-03-09T00:00:00.000"
"2020-2021","2021-01-17T00:00:00.000","2021-01-23T00:00:00.000","2021-01-17 - 2021-01-23","3","26","2024-01-20T00:00:00.000","193.73","2024-03-09T00:00:00.000"
"2020-2021","2021-01-24T00:00:00.000","2021-01-30T00:00:00.000","2021-01-24 - 2021-01-30","4","27","2024-01-27T00:00:00.000","193.86","2024-03-09T00:00:00.000"
"2020-2021","2021-01-31T00:00:00.000","2021-02-06T00:00:00.000","2021-01-31 - 2021-02-06","5","28","2024-02-03T00:00:00.000","193.98","2024-03-09T00:00:00.000"
"2020-2021","2021-02-07T00:00:00.000","2021-02-13T00:00:00.000","2021-02-07 - 2021-02-13","6","29","2024-02-10T00:00:00.000","194.07","2024-03-09T00:00:00.000"
"2020-2021","2021-02-14T00:00:00.000","2021-02-20T00:00:00.000","2021-02-14 - 2021-02-20","7","30","2024-02-17T00:00:00.000","194.08","2024-03-09T00:00:00.000"
"2020-2021","2021-02-21T00:00:00.000","2021-02-27T00:00:00.000","2021-02-21 - 2021-02-27","8","31","2024-02-24T00:00:00.000","194.2","2024-03-09T00:00:00.000"
"2020-2021","2021-02-28T00:00:00.000","2021-03-06T00:00:00.000","2021-02-28 - 2021-03-06","9","32","2024-03-02T00:00:00.000","194.39","2024-03-09T00:00:00.000"
"2021-2022","2021-07-25T00:00:00.000","2021-07-31T00:00:00.000","2021-07-25 - 2021-07-31","30","1","2023-07-29T00:00:00.000","0.99","2024-03-09T00:00:00.000"
"2021-2022","2021-08-01T00:00:00.000","2021-08-07T00:00:00.000","2021-08-01 - 2021-08-07","31","2","2023-08-05T00:00:00.000","6.2","2024-03-09T00:00:00.000"
"2021-2022","2021-08-08T00:00:00.000","2021-08-14T00:00:00.000","2021-08-08 - 2021-08-14","32","3","2023-08-12T00:00:00.000","12.72","2024-03-09T00:00:00.000"
