"season","week","virus","region","age_gp","number_pos","number_tested","percent_pos"
"2021-22","202148","SARS-CoV-2","Region 8","18-24 years","61","265","23.02"
"2021-22","202148","SARS-CoV-2","Region 8","25-49 years","298","772","38.6"
"2021-22","202148","SARS-CoV-2","Region 8","50-64 years","195","508","38.39"
"2021-22","202148","SARS-CoV-2","Region 8","65+ years","230","705","32.62"
"2021-22","202148","SARS-CoV-2","Region 9","0-4 years","0","2","0"
"2021-22","202148","SARS-CoV-2","Region 9","5-17 years","1","7","14.29"
"2021-22","202148","SARS-CoV-2","Region 9","18-24 years","1","13","7.69"
"2021-22","202148","SARS-CoV-2","Region 9","25-49 years","10","46","21.74"
"2021-22","202148","SARS-CoV-2","Region 9","50-64 years","10","38","26.32"
"2021-22","202148","SARS-CoV-2","Region 9","65+ years","10","42","23.81"
"2021-22","202148","Influenza","Region 1","0-4 years","0","0","0"
"2021-22","202148","Influenza","Region 1","5-17 years","0","0","0"
"2021-22","202148","Influenza","Region 1","18-24 years","0","0","0"
"2021-22","202148","Influenza","Region 1","25-49 years","0","0","0"
"2021-22","202148","Influenza","Region 1","50-64 years","0","0","0"
"2021-22","202148","Influenza","Region 1","65+ years","0","0","0"
"2021-22","202148","Influenza","Region 2","0-4 years","0","10","0"
"2021-22","202148","Influenza","Region 2","5-17 years","1","13","7.69"
"2021-22","202148","Influenza","Region 2","18-24 years","1","8","12.5"
"2021-22","202148","Influenza","Region 2","25-49 years","3","63","4.76"
"2021-22","202148","Influenza","Region 2","50-64 years","2","48","4.17"
"2021-22","202148","Influenza","Region 2","65+ years","0","59","0"
"2021-22","202148","Influenza","Region 3","0-4 years","0","88","0"
"2021-22","202148","Influenza","Region 3","5-17 years","2","31","6.45"
"2021-22","202148","Influenza","Region 3","18-24 years","10","31","32.26"
"2021-22","202148","Influenza","Region 3","25-49 years","4","76","5.26"
"2021-22","202148","Influenza","Region 3","50-64 years","1","52","1.92"
"2021-22","202148","Influenza","Region 3","65+ years","0","97","0"
"2021-22","202148","Influenza","Region 5","0-4 years","4","129","3.1"
"2021-22","202148","Influenza","Region 5","5-17 years","2","42","4.76"
"2021-22","202148","Influenza","Region 5","18-24 years","3","38","7.89"
"2021-22","202148","Influenza","Region 5","25-49 years","2","103","1.94"
"2021-22","202148","Influenza","Region 5","50-64 years","0","76","0"
"2021-22","202148","Influenza","Region 5","65+ years","0","126","0"
"2021-22","202148","Influenza","Region 6","0-4 years","0","4","0"
"2021-22","202148","Influenza","Region 6","5-17 years","0","3","0"
"2021-22","202148","Influenza","Region 6","18-24 years","1","14","7.14"
"2021-22","202148","Influenza","Region 6","25-49 years","2","60","3.33"
"2021-22","202148","Influenza","Region 6","50-64 years","0","84","0"
"2021-22","202148","Influenza","Region 6","65+ years","0","42","0"
"2021-22","202148","Influenza","Region 7","0-4 years","4","142","2.82"
"2021-22","202148","Influenza","Region 7","5-17 years","2","58","3.45"
"2021-22","202148","Influenza","Region 7","18-24 years","2","17","11.76"
"2021-22","202148","Influenza","Region 7","25-49 years","0","49","0"
"2021-22","202148","Influenza","Region 7","50-64 years","0","45","0"
"2021-22","202148","Influenza","Region 7","65+ years","1","49","2.04"
"2021-22","202148","Influenza","Region 8","0-4 years","3","586","0.51"
"2021-22","202148","Influenza","Region 8","5-17 years","5","196","2.55"
"2021-22","202148","Influenza","Region 8","18-24 years","7","160","4.38"
"2021-22","202148","Influenza","Region 8","25-49 years","10","494","2.02"
"2021-22","202148","Influenza","Region 8","50-64 years","5","352","1.42"
"2021-22","202148","Influenza","Region 8","65+ years","9","557","1.62"
"2021-22","202148","Influenza","Region 9","0-4 years","0","1","0"
"2021-22","202148","Influenza","Region 9","5-17 years","1","6","16.67"
"2021-22","202148","Influenza","Region 9","18-24 years","0","13","0"
"2021-22","202148","Influenza","Region 9","25-49 years","1","45","2.22"
"2021-22","202148","Influenza","Region 9","50-64 years","0","37","0"
"2021-22","202148","Influenza","Region 9","65+ years","1","42","2.38"
"2021-22","202148","RSV","Region 1","0-4 years","0","0","0"
"2021-22","202148","RSV","Region 1","5-17 years","0","0","0"
"2021-22","202148","RSV","Region 1","18-24 years","0","0","0"
"2021-22","202148","RSV","Region 1","25-49 years","0","0","0"
"2021-22","202148","RSV","Region 1","50-64 years","0","0","0"
"2021-22","202148","RSV","Region 1","65+ years","0","0","0"
"2021-22","202148","RSV","Region 2","0-4 years","3","10","30"
"2021-22","202148","RSV","Region 2","5-17 years","1","12","8.33"
"2021-22","202148","RSV","Region 2","18-24 years","0","7","0"
"2021-22","202148","RSV","Region 2","25-49 years","2","42","4.76"
"2021-22","202148","RSV","Region 2","50-64 years","0","24","0"
"2021-22","202148","RSV","Region 2","65+ years","1","24","4.17"
"2021-22","202148","RSV","Region 3","0-4 years","15","60","25"
"2021-22","202148","RSV","Region 3","5-17 years","2","27","7.41"
"2021-22","202148","RSV","Region 3","18-24 years","0","18","0"
"2021-22","202148","RSV","Region 3","25-49 years","1","61","1.64"
"2021-22","202148","RSV","Region 3","50-64 years","1","46","2.17"
"2021-22","202148","RSV","Region 3","65+ years","4","81","4.94"
"2021-22","202148","RSV","Region 5","0-4 years","23","130","17.69"
"2021-22","202148","RSV","Region 5","5-17 years","2","39","5.13"
"2021-22","202148","RSV","Region 5","18-24 years","2","20","10"
"2021-22","202148","RSV","Region 5","25-49 years","1","61","1.64"
"2021-22","202148","RSV","Region 5","50-64 years","1","61","1.64"
"2021-22","202148","RSV","Region 5","65+ years","9","109","8.26"
"2021-22","202148","RSV","Region 6","0-4 years","0","4","0"
"2021-22","202148","RSV","Region 6","5-17 years","0","3","0"
"2021-22","202148","RSV","Region 6","18-24 years","0","14","0"
"2021-22","202148","RSV","Region 6","25-49 years","2","60","3.33"
"2021-22","202148","RSV","Region 6","50-64 years","0","84","0"
"2021-22","202148","RSV","Region 6","65+ years","0","42","0"
"2021-22","202148","RSV","Region 7","0-4 years","21","142","14.79"
"2021-22","202148","RSV","Region 7","5-17 years","2","58","3.45"
"2021-22","202148","RSV","Region 7","18-24 years","0","17","0"
"2021-22","202148","RSV","Region 7","25-49 years","4","49","8.16"
"2021-22","202148","RSV","Region 7","50-64 years","1","45","2.22"
"2021-22","202148","RSV","Region 7","65+ years","0","49","0"
"2021-22","202148","RSV","Region 8","0-4 years","288","582","49.48"
"2021-22","202148","RSV","Region 8","5-17 years","25","176","14.2"
"2021-22","202148","RSV","Region 8","18-24 years","11","129","8.53"
"2021-22","202148","RSV","Region 8","25-49 years","42","404","10.4"
"2021-22","202148","RSV","Region 8","50-64 years","34","310","10.97"
"2021-22","202148","RSV","Region 8","65+ years","44","524","8.4"
"2021-22","202148","RSV","Region 9","0-4 years","0","0","0"
"2021-22","202148","RSV","Region 9","5-17 years","0","1","0"
"2021-22","202148","RSV","Region 9","18-24 years","0","0","0"
"2021-22","202148","RSV","Region 9","25-49 years","0","3","0"
"2021-22","202148","RSV","Region 9","50-64 years","1","9","11.11"
"2021-22","202148","RSV","Region 9","65+ years","0","10","0"
"2021-22","202149","SARS-CoV-2","Region 1","0-4 years","0","0","0"
"2021-22","202149","SARS-CoV-2","Region 1","5-17 years","0","0","0"
"2021-22","202149","SARS-CoV-2","Region 1","18-24 years","0","0","0"
"2021-22","202149","SARS-CoV-2","Region 1","25-49 years","0","0","0"
"2021-22","202149","SARS-CoV-2","Region 1","50-64 years","1","1","100"
"2021-22","202149","SARS-CoV-2","Region 1","65+ years","0","0","0"
"2021-22","202149","SARS-CoV-2","Region 2","0-4 years","0","10","0"
"2021-22","202149","SARS-CoV-2","Region 2","5-17 years","2","24","8.33"
"2021-22","202149","SARS-CoV-2","Region 2","18-24 years","4","33","12.12"
"2021-22","202149","SARS-CoV-2","Region 2","25-49 years","48","152","31.58"
"2021-22","202149","SARS-CoV-2","Region 2","50-64 years","25","112","22.32"
"2021-22","202149","SARS-CoV-2","Region 2","65+ years","39","135","28.89"
"2021-22","202149","SARS-CoV-2","Region 3","0-4 years","17","93","18.28"
"2021-22","202149","SARS-CoV-2","Region 3","5-17 years","12","36","33.33"
"2021-22","202149","SARS-CoV-2","Region 3","18-24 years","10","52","19.23"
"2021-22","202149","SARS-CoV-2","Region 3","25-49 years","46","98","46.94"
"2021-22","202149","SARS-CoV-2","Region 3","50-64 years","33","74","44.59"
"2021-22","202149","SARS-CoV-2","Region 3","65+ years","44","133","33.08"
"2021-22","202149","SARS-CoV-2","Region 4","0-4 years","2","168","1.19"
"2021-22","202149","SARS-CoV-2","Region 4","5-17 years","6","79","7.59"
"2021-22","202149","SARS-CoV-2","Region 4","18-24 years","2","13","15.38"
"2021-22","202149","SARS-CoV-2","Region 4","25-49 years","2","19","10.53"
"2021-22","202149","SARS-CoV-2","Region 4","50-64 years","0","25","0"
"2021-22","202149","SARS-CoV-2","Region 4","65+ years","3","16","18.75"
"2021-22","202149","SARS-CoV-2","Region 5","0-4 years","22","242","9.09"
"2021-22","202149","SARS-CoV-2","Region 5","5-17 years","42","160","26.25"
"2021-22","202149","SARS-CoV-2","Region 5","18-24 years","26","71","36.62"
"2021-22","202149","SARS-CoV-2","Region 5","25-49 years","120","266","45.11"
"2021-22","202149","SARS-CoV-2","Region 5","50-64 years","85","227","37.44"
"2021-22","202149","SARS-CoV-2","Region 5","65+ years","85","290","29.31"
"2021-22","202149","SARS-CoV-2","Region 6","0-4 years","0","5","0"
"2021-22","202149","SARS-CoV-2","Region 6","5-17 years","1","7","14.29"
"2021-22","202149","SARS-CoV-2","Region 6","18-24 years","2","22","9.09"
"2021-22","202149","SARS-CoV-2","Region 6","25-49 years","16","109","14.68"
"2021-22","202149","SARS-CoV-2","Region 6","50-64 years","20","96","20.83"
"2021-22","202149","SARS-CoV-2","Region 6","65+ years","8","91","8.79"
"2021-22","202149","SARS-CoV-2","Region 7","0-4 years","12","140","8.57"
"2021-22","202149","SARS-CoV-2","Region 7","5-17 years","11","70","15.71"
"2021-22","202149","SARS-CoV-2","Region 7","18-24 years","1","12","8.33"
"2021-22","202149","SARS-CoV-2","Region 7","25-49 years","24","64","37.5"
"2021-22","202149","SARS-CoV-2","Region 7","50-64 years","15","56","26.79"
"2021-22","202149","SARS-CoV-2","Region 7","65+ years","11","44","25"
"2021-22","202149","SARS-CoV-2","Region 8","0-4 years","52","591","8.8"
"2021-22","202149","SARS-CoV-2","Region 8","5-17 years","33","291","11.34"
"2021-22","202149","SARS-CoV-2","Region 8","18-24 years","43","207","20.77"
"2021-22","202149","SARS-CoV-2","Region 8","25-49 years","232","732","31.69"
"2021-22","202149","SARS-CoV-2","Region 8","50-64 years","148","408","36.27"
"2021-22","202149","SARS-CoV-2","Region 8","65+ years","191","656","29.12"
"2021-22","202149","SARS-CoV-2","Region 9","0-4 years","1","2","50"
"2021-22","202149","SARS-CoV-2","Region 9","5-17 years","1","2","50"
"2021-22","202149","SARS-CoV-2","Region 9","18-24 years","4","18","22.22"
"2021-22","202149","SARS-CoV-2","Region 9","25-49 years","18","58","31.03"
"2021-22","202149","SARS-CoV-2","Region 9","50-64 years","9","36","25"
"2021-22","202149","SARS-CoV-2","Region 9","65+ years","5","47","10.64"
