"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Age group","65 years and older","10.3","8.3, 12.5"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Age group","18-44 years","80.4","78.1, 82.5"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Age group","45-64 years","81.1","79, 83.1"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Age group","65 years and older","86.1","84, 88.1"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Age group","18-44 years","78.7","76.4, 80.9"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Age group","45-64 years","79","76.8, 81"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Age group","65 years and older","84.5","82.3, 86.5"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Age group","18-44 years","65.4","62.2, 68.6"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Age group","45-64 years","67","64.1, 69.9"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Age group","65 years and older","48.5","45, 52.1"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Age group","18-44 years","65.6","62.2, 68.8"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Age group","45-64 years","65.3","62.4, 68.2"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Age group","65 years and older","48.8","45.1, 52.4"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Age group","18-44 years","42.2","40, 44.4"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Age group","45-64 years","51.2","48.9, 53.5"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Age group","65 years and older","52.1","49.6, 54.7"
"3","Sexual health","In doctor's office","Percentage of adults who received sexual health services in a doctor’s office, among those who have received sexual health services in the last 12 months","Region","West","81.3","73.1, 87.9"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Age group","18-44 years","41.5","38.1, 44.9"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Age group","45-64 years","40.7","37.7, 43.8"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Age group","65 years and older","18.7","15.7, 22"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Age group","18-44 years","66.4","63.1, 69.7"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Age group","45-64 years","65.4","62.3, 68.4"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Age group","65 years and older","41.8","38.2, 45.3"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Age group","18-44 years","6","5.1, 7"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Age group","45-64 years","7.2","6.1, 8.5"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Age group","65 years and older","5.6","4.5, 6.8"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Age group","18-44 years","60.9","58.7, 63"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Age group","45-64 years","53.5","51.2, 55.7"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Age group","65 years and older","46.3","43.8, 48.9"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Age group","18-44 years","29.6","27.4, 31.8"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Age group","45-64 years","23.4","21.4, 25.4"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Age group","65 years and older","17.5","15.7, 19.5"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Age group","18-44 years","58","55.7, 60.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Age group","45-64 years","56.4","54.2, 58.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Age group","65 years and older","45.2","42.6, 47.8"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Age group","18-44 years","59","56.7, 61.3"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Age group","45-64 years","64","61.7, 66.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Age group","65 years and older","67.7","65.2, 70.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Age group","18-44 years","20.3","18.3, 22.3"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Age group","45-64 years","17.9","16.1, 19.9"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Age group","65 years and older","13.4","11.8, 15.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Age group","18-44 years","64.6","62.4, 66.8"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Age group","45-64 years","56.8","54.5, 59.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Age group","65 years and older","57.5","54.9, 60.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Age group","18-44 years","50.6","48.4, 52.9"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Age group","45-64 years","54.2","51.9, 56.4"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Age group","65 years and older","53.6","51.1, 56.1"
