"state","season","week_ending_date","age_category","sex","race","rate","cumulative_rate","type"
"RSV-NET","2021-22","2022-07-16","1-4 years","All","All","3.0","122.5","Crude Rate"
"RSV-NET","2021-22","2022-07-23","1-4 years","All","All","4.1","126.6","Crude Rate"
"RSV-NET","2021-22","2022-07-30","1-4 years","All","All","3.2","129.8","Crude Rate"
"RSV-NET","2021-22","2022-08-06","1-4 years","All","All","3.4","133.2","Crude Rate"
"RSV-NET","2021-22","2022-08-13","1-4 years","All","All","3.9","137.1","Crude Rate"
"RSV-NET","2021-22","2022-08-20","1-4 years","All","All","3.5","140.6","Crude Rate"
"RSV-NET","2021-22","2022-08-27","1-4 years","All","All","4.3","144.9","Crude Rate"
"RSV-NET","2021-22","2022-09-03","1-4 years","All","All","3.6","148.5","Crude Rate"
"RSV-NET","2021-22","2022-09-10","1-4 years","All","All","4.6","153.1","Crude Rate"
"RSV-NET","2021-22","2022-09-17","1-4 years","All","All","6.9","160.0","Crude Rate"
"RSV-NET","2021-22","2022-09-24","1-4 years","All","All","9.6","169.6","Crude Rate"
"RSV-NET","2021-22","2022-10-01","1-4 years","All","All","9.9","179.6","Crude Rate"
"California","2021-22","2021-10-09","1-4 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-16","1-4 years","All","All","2.0","2.0","Crude Rate"
"California","2021-22","2021-10-23","1-4 years","All","All","0.7","2.7","Crude Rate"
"California","2021-22","2021-10-30","1-4 years","All","All","2.7","5.4","Crude Rate"
"California","2021-22","2021-11-06","1-4 years","All","All","2.0","7.4","Crude Rate"
"California","2021-22","2021-11-13","1-4 years","All","All","2.7","10.1","Crude Rate"
"California","2021-22","2021-11-20","1-4 years","All","All","2.0","12.2","Crude Rate"
"California","2021-22","2021-11-27","1-4 years","All","All","5.4","17.6","Crude Rate"
"California","2021-22","2021-12-04","1-4 years","All","All","4.1","21.6","Crude Rate"
"California","2021-22","2021-12-11","1-4 years","All","All","5.4","27.0","Crude Rate"
"California","2021-22","2021-12-18","1-4 years","All","All","2.7","29.7","Crude Rate"
"California","2021-22","2021-12-25","1-4 years","All","All","4.7","34.5","Crude Rate"
"California","2021-22","2022-01-01","1-4 years","All","All","3.4","37.8","Crude Rate"
"California","2021-22","2022-01-08","1-4 years","All","All","2.0","39.9","Crude Rate"
"California","2021-22","2022-01-15","1-4 years","All","All","1.4","41.2","Crude Rate"
"California","2021-22","2022-01-22","1-4 years","All","All","1.4","42.6","Crude Rate"
"California","2021-22","2022-01-29","1-4 years","All","All","2.0","44.6","Crude Rate"
"California","2021-22","2022-02-05","1-4 years","All","All","1.4","45.9","Crude Rate"
"California","2021-22","2022-02-12","1-4 years","All","All","0.7","46.6","Crude Rate"
"California","2021-22","2022-02-19","1-4 years","All","All","2.0","48.6","Crude Rate"
"California","2021-22","2022-02-26","1-4 years","All","All","0.7","49.3","Crude Rate"
"California","2021-22","2022-03-05","1-4 years","All","All","1.4","50.7","Crude Rate"
"California","2021-22","2022-03-12","1-4 years","All","All","0.7","51.3","Crude Rate"
"California","2021-22","2022-03-19","1-4 years","All","All","0.7","52.0","Crude Rate"
"California","2021-22","2022-03-26","1-4 years","All","All","1.4","53.4","Crude Rate"
"California","2021-22","2022-04-02","1-4 years","All","All","0.0","53.4","Crude Rate"
"California","2021-22","2022-04-09","1-4 years","All","All","0.7","54.1","Crude Rate"
"California","2021-22","2022-04-16","1-4 years","All","All","0.0","54.1","Crude Rate"
"California","2021-22","2022-04-23","1-4 years","All","All","0.0","54.1","Crude Rate"
"California","2021-22","2022-04-30","1-4 years","All","All","0.7","54.7","Crude Rate"
"California","2021-22","2022-05-07","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-05-14","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-05-21","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-05-28","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-06-04","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-06-11","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-06-18","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-06-25","1-4 years","All","All","0.0","54.7","Crude Rate"
"California","2021-22","2022-07-02","1-4 years","All","All","0.7","55.4","Crude Rate"
"California","2021-22","2022-07-09","1-4 years","All","All","0.7","56.1","Crude Rate"
"California","2021-22","2022-07-16","1-4 years","All","All","0.0","56.1","Crude Rate"
"California","2021-22","2022-07-23","1-4 years","All","All","1.4","57.4","Crude Rate"
"California","2021-22","2022-07-30","1-4 years","All","All","0.7","58.1","Crude Rate"
"California","2021-22","2022-08-06","1-4 years","All","All","1.4","59.5","Crude Rate"
"California","2021-22","2022-08-13","1-4 years","All","All","1.4","60.8","Crude Rate"
"California","2021-22","2022-08-20","1-4 years","All","All","2.0","62.8","Crude Rate"
"California","2021-22","2022-08-27","1-4 years","All","All","2.0","64.9","Crude Rate"
"California","2021-22","2022-09-03","1-4 years","All","All","1.4","66.2","Crude Rate"
"California","2021-22","2022-09-10","1-4 years","All","All","1.4","67.6","Crude Rate"
"California","2021-22","2022-09-17","1-4 years","All","All","2.7","70.3","Crude Rate"
"California","2021-22","2022-09-24","1-4 years","All","All","4.7","75.0","Crude Rate"
"California","2021-22","2022-10-01","1-4 years","All","All","4.1","79.0","Crude Rate"
"RSV-NET","2021-22","2021-10-09","0-<1 year","All","All","39.7","39.7","Crude Rate"
"RSV-NET","2021-22","2021-10-16","0-<1 year","All","All","37.8","77.5","Crude Rate"
"RSV-NET","2021-22","2021-10-23","0-<1 year","All","All","35.0","112.4","Crude Rate"
"RSV-NET","2021-22","2021-10-30","0-<1 year","All","All","31.2","143.6","Crude Rate"
"RSV-NET","2021-22","2021-11-06","0-<1 year","All","All","41.9","185.5","Crude Rate"
"RSV-NET","2021-22","2021-11-13","0-<1 year","All","All","40.6","226.1","Crude Rate"
