"year","stateabbr","statedesc","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","totalpop18plus","locationid","categoryid","measureid","datavaluetypeid","short_question_text","geolocation"
"2023","GA","Georgia","Catoosa","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","33.9",,,"27.1","41.7","68910","54038","13047","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-85.1386810142994 34.9040327945415)"
"2023","GA","Georgia","Clayton","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.3",,,"3.8","4.8","298300","219599","13063","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-84.3578579480575 33.5414016249358)"
"2023","GA","Georgia","Jeff Davis","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.8",,,"4.3","5.4","14906","11152","13161","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-82.6366953093619 31.8060289030775)"
"2023","GA","Georgia","Lowndes","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","3.8",,,"3.4","4.2","120712","91064","13185","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-83.2675650668111 30.8338264319898)"
"2023","GA","Georgia","McDuffie","BRFSS","Disability","Any disability among adults","%","Crude prevalence","36.6",,,"31.6","41.9","21799","16447","13189","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-82.4820889613078 33.4833148939309)"
"2023","GA","Georgia","Peach","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","39.3",,,"31.1","47.7","28805","22815","13225","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-83.8278402405427 32.5679570126366)"
"2023","GA","Georgia","Sumter","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","28.3",,,"25.0","31.4","28890","22380","13261","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-84.1964809541096 32.0397994329016)"
"2023","GA","Georgia","Sumter","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.8",,,"4.3","5.4","28890","22380","13261","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-84.1964809541096 32.0397994329016)"
"2023","GA","Georgia","Turner","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence","27.3",,,"24.0","30.6","8909","6668","13287","HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis","POINT (-83.6240607423052 31.7163577811279)"
"2023","GA","Georgia","Twiggs","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","39.7",,,"31.3","48.1","7691","6243","13289","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-83.4270456679841 32.6669819807256)"
"2023","GA","Georgia","Twiggs","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","4.1",,,"3.7","4.5","7691","6243","13289","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-83.4270456679841 32.6669819807256)"
"2023","GA","Georgia","Wheeler","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","19.0",,,"16.0","22.3","7081","5935","13309","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-82.725207369526 32.1177472167522)"
"2023","ID","Idaho","Bannock","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.1",,,"2.7","3.5","90400","67958","16005","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-112.224464654126 42.6685980174801)"
"2023","ID","Idaho","Caribou","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","10.1",,,"8.8","11.3","7219","5232","16029","DISABLT","HEARING","CrdPrv","Hearing Disability","POINT (-111.562180546814 42.7704958174665)"
"2023","ID","Idaho","Clearwater","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","3.1",,,"2.8","3.5","9214","7803","16035","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-115.656694865225 46.6735928960896)"
"2023","ID","Idaho","Owyhee","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","29.9",,,"26.8","33.0","12722","9638","16073","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-116.169961362386 42.5814571930845)"
"2023","IL","Illinois","Brown","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","24.5",,,"22.6","26.4","6294","5228","17009","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-90.7503721365036 39.9613825830312)"
"2023","IL","Illinois","Bureau","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.1",,,"3.5","4.7","32729","26017","17011","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-89.5286007041431 41.4040731451308)"
"2023","IL","Illinois","Cook","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","31.0",,,"27.7","34.6","5087072","4031580","17031","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-87.8168979519151 41.8399157287328)"
"2023","IL","Illinois","Douglas","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","22.6",,,"19.0","26.7","19629","14859","17041","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-88.2172568038989 39.7694705783852)"
"2023","IL","Illinois","Lee","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","29.0",,,"25.4","32.9","33654","27075","17103","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-89.3003384748927 41.7461650352863)"
"2023","IN","Indiana","Clay","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","3.1",,,"2.7","3.5","26460","20399","18021","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-87.1156970341882 39.3927502534324)"
"2023","IN","Indiana","Dubois","BRFSS","Disability","Any disability among adults","%","Crude prevalence","31.1",,,"26.5","36.0","43546","33017","18037","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-86.87967418654 38.3641061248825)"
"2023","IN","Indiana","Henry","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.9",,,"3.4","4.4","48929","39114","18065","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-85.3964926671803 39.9310913829344)"
"2023","IN","Indiana","Johnson","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence","26.0",,,"23.1","29.1","167819","127387","18081","HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis","POINT (-86.1015201678262 39.4900191572479)"
"2023","IN","Indiana","LaGrange","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","28.3",,,"25.1","31.4","40907","28068","18087","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-85.4265637705832 41.6425933289659)"
"2023","IN","Indiana","Marshall","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.9",,,"3.4","4.5","46352","35175","18099","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-86.2617259290156 41.3247781239262)"
"2023","IN","Indiana","Pike","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","33.3",,,"29.5","37.0","12106","9417","18125","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-87.2321871082488 38.3988569399369)"
"2023","IN","Indiana","Pike","BRFSS","Disability","Any disability among adults","%","Crude prevalence","34.5",,,"29.2","39.8","12106","9417","18125","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-87.2321871082488 38.3988569399369)"
"2023","IN","Indiana","Scott","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.9",,,"3.4","4.5","24657","19068","18143","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-85.7470610792329 38.6857746467527)"
"2023","IN","Indiana","Spencer","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","8.0",,,"7.0","9.1","19910","15626","18147","DISABLT","HEARING","CrdPrv","Hearing Disability","POINT (-87.0078072940662 38.014215806549)"
"2023","IN","Indiana","Steuben","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.7",,,"3.2","4.3","34917","28111","18151","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-85.0008949323746 41.6439136976393)"
"2023","IA","Iowa","Fremont","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","20.1",,,"17.0","23.4","6458","5059","19071","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-95.6047023421803 40.7455695629106)"
"2023","IA","Iowa","Scott","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","28.8",,,"25.9","31.8","174270","134300","19163","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-90.6229482200086 41.6371214525029)"
"2023","IA","Iowa","Tama","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","40.2",,,"32.0","49.1","16833","12823","19171","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-92.5325291369623 42.0798241878133)"
"2023","KS","Kansas","Anderson","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","30.9",,,"27.4","34.6","7838","5838","20003","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-95.2933688726568 38.2141931918467)"
"2023","KS","Kansas","Barber","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","14.5",,,"11.9","17.3","4071","3137","20007","RISKBEH","BINGE","CrdPrv","Binge Drinking","POINT (-98.6848141558495 37.2289283040021)"
"2023","KS","Kansas","Haskell","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","13.2",,,"11.4","15.2","3630","2660","20081","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-100.871073802866 37.5620393895921)"
"2023","KS","Kansas","Jackson","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","2.9",,,"2.5","3.3","13368","10012","20085","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-95.7936987430142 39.4167647961796)"
"2023","KS","Kansas","Wabaunsee","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.1",,,"28.0","42.7","7057","5423","20197","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-96.2047841037931 38.9532749954216)"
"2023","KS","Kansas","Wallace","BRFSS","Disability","Any disability among adults","%","Crude prevalence","35.3",,,"30.3","40.3","1509","1087","20199","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-101.76373465007 38.9169062823761)"
"2023","LA","Louisiana","Cameron","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","9.3",,,"8.1","10.6","4768","3710","22023","DISABLT","HEARING","CrdPrv","Hearing Disability","POINT (-93.1937743273004 29.8753419178176)"
"2023","LA","Louisiana","Red River","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","35.0",,,"31.3","38.8","7356","5645","22081","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-93.3400554898866 32.0931744035427)"
"2023","LA","Louisiana","Red River","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","10.1",,,"9.0","11.4","7356","5645","22081","DISABLT","HEARING","CrdPrv","Hearing Disability","POINT (-93.3400554898866 32.0931744035427)"
"2023","ME","Maine","Hancock","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.7","13.5","56526","47589","23009","HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-68.3588356549835 44.6432336584807)"
"2023","ME","Maine","Lincoln","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","37.2",,,"34.3","40.3","36507","30624","23015","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-69.5422010988501 44.0633840443308)"
"2023","MD","Maryland","Carroll","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.1",,,"8.9","11.4","176639","137462","24013","HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-77.0227635353375 39.5629025323817)"
"2023","MI","Michigan","Antrim","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","2.7",,,"2.3","3.1","24409","20323","26009","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-85.1404720041255 44.9989840363288)"
"2023","MI","Michigan","Baraga","BRFSS","Disability","Any disability among adults","%","Crude prevalence","37.3",,,"32.0","42.3","8310","6876","26013","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-88.3656415192921 46.6623658055755)"
"2023","MI","Michigan","Cass","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","8.8",,,"7.7","10.0","51642","41306","26027","DISABLT","HEARING","CrdPrv","Hearing Disability","POINT (-85.9935414758751 41.9154206378426)"
"2023","MI","Michigan","Gogebic","BRFSS","Disability","Any disability among adults","%","Crude prevalence","36.6",,,"31.6","41.9","14224","11925","26053","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-89.6944063949911 46.4088918363673)"
"2023","MI","Michigan","Hillsdale","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.2",,,"3.7","4.8","45587","35783","26059","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-84.5930177282528 41.8877912642905)"
"2023","MI","Michigan","Iosco","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","5.3",,,"4.5","6.0","25373","21051","26069","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-83.6360248500271 44.3559235019266)"
"2023","MI","Michigan","Lenawee","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","29.8",,,"26.4","33.3","97520","77713","26091","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-84.0663547898499 41.8951017478988)"
"2023","MN","Minnesota","Anoka","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","21.7",,,"19.5","24.0","372441","284448","27003","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-93.2464484376371 45.2734016200054)"
"2023","MN","Minnesota","Blue Earth","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","9.4",,,"8.0","10.7","70006","56268","27013","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-94.0669295707349 44.0345454957417)"
"2023","MN","Minnesota","Grant","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","39.7",,,"32.0","47.7","6139","4712","27051","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-96.0121418802788 45.9341606620888)"
"2023","MN","Minnesota","Jackson","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","16.7",,,"13.8","20.0","9919","7831","27063","RISKBEH","BINGE","CrdPrv","Binge Drinking","POINT (-95.1541374809809 43.6741709035012)"
"2023","MN","Minnesota","Marshall","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence","21.1",,,"18.3","24.1","8810","6782","27089","HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis","POINT (-96.3693644206458 48.3582450126042)"
"2023","NE","Nebraska","Cherry","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.1",,,"3.5","4.6","5492","4162","31031","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-101.118490615743 42.5449842734791)"
"2023","NE","Nebraska","Dawes","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.5",,,"28.6","43.0","8133","6654","31045","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-103.135412749731 42.7200608375704)"
"2023","NE","Nebraska","Garfield","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","38.8",,,"30.9","47.1","1763","1422","31071","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-98.9911182720622 41.9142895478018)"
"2023","NE","Nebraska","Perkins","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","40.7",,,"33.0","49.5","2795","2130","31135","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-101.650140073647 40.8506321595162)"
"2023","NE","Nebraska","Thomas","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.0",,,"7.9","10.1","677","525","31171","HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-100.555663288734 41.9135892531917)"
"2023","NE","Nebraska","Valley","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","30.5",,,"26.9","34.3","4012","3070","31175","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-98.9820851122081 41.5672346166775)"
"2023","NE","Nebraska","Wayne","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","37.3",,,"31.3","43.5","9874","7832","31179","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-97.1192717308651 42.2093316511452)"
"2023","NE","Nebraska","Webster","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","17.6",,,"14.7","20.7","3351","2578","31181","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-98.5000164412109 40.1764244981952)"
"2023","NV","Nevada","Elko","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.3",,,"2.9","3.7","54293","40093","32007","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-115.357816697339 41.146014947299)"
"2023","NV","Nevada","Mineral","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","38.4",,,"29.2","47.7","4528","3656","32021","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-118.434422566639 38.5384503517263)"
"2023","NV","Nevada","Nye","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","21.0",,,"17.6","25.0","55720","46506","32023","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-116.471809599714 38.0419684455387)"
"2023","NV","Nevada","White Pine","BRFSS","Disability","Any disability among adults","%","Crude prevalence","37.6",,,"32.6","43.3","8522","6803","32033","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-114.901647765037 39.4423250003683)"
"2023","NJ","New Jersey","Hudson","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.6",,,"2.3","2.9","705472","568317","34017","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-74.0775216353661 40.7357102732875)"
"2023","NM","New Mexico","Catron","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","38.8",,,"34.7","42.9","3825","3386","35003","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-108.404715402876 33.9150903459717)"
"2023","NM","New Mexico","Lincoln","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.7",,,"4.1","5.4","20029","16497","35027","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-105.459231313545 33.7455208510099)"
"2023","NM","New Mexico","Los Alamos","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","20.5",,,"17.1","24.3","19444","15411","35028","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-106.306539429798 35.8686843512051)"
"2023","NM","New Mexico","Otero","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.9",,,"3.4","4.3","68835","54011","35035","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-105.741478524611 32.6132896393527)"
"2023","NM","New Mexico","Quay","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","22.3",,,"18.8","26.1","8510","6759","35037","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-103.549883052863 35.1039884429704)"
"2023","NM","New Mexico","Taos","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","30.5",,,"26.9","34.3","34405","29128","35055","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-105.63098311438 36.5783384910955)"
"2023","NY","New York","Chemung","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.8",,,"3.3","4.4","81325","64334","36015","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-76.7597380991482 42.1409310401637)"
"2023","NY","New York","Chenango","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.1",,,"3.6","4.8","45920","36448","36017","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-75.611354854502 42.4934138951932)"
"2023","NY","New York","Columbia","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.9",,,"3.3","4.5","60470","51121","36021","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-73.6319367338711 42.2500183961169)"
"2023","NY","New York","Cortland","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.1",,,"2.7","3.6","45752","37332","36023","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-76.0702852077051 42.5950382162679)"
"2023","NY","New York","Ontario","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","10.5",,,"8.9","12.4","112494","91175","36069","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-77.2997879572198 42.8526286651693)"
"2023","NY","New York","Schuyler","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","3.0",,,"2.7","3.4","17507","14192","36097","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-76.8743925413877 42.3934659710381)"
"2023","NC","North Carolina","Alexander","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","36.5",,,"28.1","45.1","36473","29341","37003","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-81.1770332718611 35.9204725331462)"
"2023","NC","North Carolina","Bertie","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","6.3",,,"5.6","7.0","16922","14112","37015","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-76.9765261847155 36.066157443707)"
"2023","NC","North Carolina","Bladen","BRFSS","Disability","Any disability among adults","%","Crude prevalence","39.1",,,"34.2","44.0","29484","23400","37017","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-78.5631528118713 34.6142975484762)"
"2023","NC","North Carolina","Halifax","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","42.6",,,"34.0","51.2","47298","37177","37083","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-77.6516450517141 36.257829844498)"
"2023","NC","North Carolina","Henderson","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","30.3",,,"23.6","37.1","119230","97324","37089","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-82.4800088797413 35.336054724191)"
"2023","NC","North Carolina","Pamlico","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","23.0",,,"19.5","27.0","12423","10683","37137","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-76.7287126546537 35.1471252533281)"
"2023","NC","North Carolina","Pamlico","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","36.0",,,"27.9","45.0","12423","10683","37137","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-76.7287126546537 35.1471252533281)"
