"week_end","pathogen","percent_deaths"
"2026-04-04T00:00:00.000","RSV","0.05"
"2026-04-04T00:00:00.000","COVID-19","0.3"
"2026-04-11T00:00:00.000","Influenza","0.15"
"2026-04-11T00:00:00.000","RSV","0.06"
"2026-04-11T00:00:00.000","COVID-19","0.26"
"2026-04-18T00:00:00.000","Influenza","0.15"
"2026-04-18T00:00:00.000","RSV","0.04"
"2026-04-18T00:00:00.000","COVID-19","0.26"
"2026-04-25T00:00:00.000","Influenza","0.11"
"2026-04-25T00:00:00.000","RSV","0.03"
"2026-04-25T00:00:00.000","COVID-19","0.2"
"2026-05-02T00:00:00.000","Influenza","0.08"
"2026-05-02T00:00:00.000","RSV","0.02"
"2026-05-02T00:00:00.000","COVID-19","0.17"
"2026-05-09T00:00:00.000","Influenza","0.07"
"2026-05-09T00:00:00.000","RSV","0.03"
"2026-05-09T00:00:00.000","COVID-19","0.16"
"2026-05-16T00:00:00.000","Influenza","0.07"
"2026-05-16T00:00:00.000","COVID-19","0.12"
