"states","year","week","label","m1","m1_flag","m2","m2_flag","m3","m3_flag","m4","m4_flag","location1","location2","sort_order","geocode"
"KANSAS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","KANSAS",,"20220202402","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","MINNESOTA",,"20220202403","POINT (-94.198308 46.349153)"
"MISSOURI","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","MISSOURI",,"20220202404","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","NEBRASKA",,"20220202405","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","NORTH DAKOTA",,"20220202406","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","SOUTH DAKOTA",,"20220202407","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-",,"SOUTH ATLANTIC","20220202408",
"DELAWARE","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","DELAWARE",,"20220202409","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220202410","POINT (-77.016275 38.904785)"
"FLORIDA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-","FLORIDA",,"20220202411","POINT (-82.420978 28.260731)"
"GEORGIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","GEORGIA",,"20220202412","POINT (-83.426574 32.638481)"
"MARYLAND","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","MARYLAND",,"20220202413","POINT (-76.687282 38.946466)"
"NORTH CAROLINA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","NORTH CAROLINA",,"20220202414","POINT (-79.130883 35.52603)"
"SOUTH CAROLINA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","SOUTH CAROLINA",,"20220202415","POINT (-80.864614 33.878572)"
"VIRGINIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","VIRGINIA",,"20220202416","POINT (-78.666382 37.510861)"
"WEST VIRGINIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","WEST VIRGINIA",,"20220202417","POINT (-80.613729 38.642579)"
"EAST SOUTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-",,"EAST SOUTH CENTRAL","20220202418",
"ALABAMA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","ALABAMA",,"20220202419","POINT (-86.844516 32.756889)"
"KENTUCKY","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","KENTUCKY",,"20220202420","POINT (-85.290484 37.526683)"
"MISSISSIPPI","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-","MISSISSIPPI",,"20220202421","POINT (-89.65344 32.713378)"
"TENNESSEE","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","TENNESSEE",,"20220202422","POINT (-86.343226 35.842998)"
"WEST SOUTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-",,"WEST SOUTH CENTRAL","20220202423",
"ARKANSAS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","ARKANSAS",,"20220202424","POINT (-92.439162 34.899825)"
"LOUISIANA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","LOUISIANA",,"20220202425","POINT (-91.840238 30.921314)"
"OKLAHOMA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","OKLAHOMA",,"20220202426","POINT (-97.508297 35.583449)"
"TEXAS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","TEXAS",,"20220202427","POINT (-99.317341 31.447238)"
"MOUNTAIN","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-",,"MOUNTAIN","20220202428",
"ARIZONA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-","ARIZONA",,"20220202429","POINT (-111.664616 34.293239)"
"COLORADO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","COLORADO",,"20220202430","POINT (-105.547832 38.998552)"
"IDAHO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","IDAHO",,"20220202431","POINT (-114.659366 44.389073)"
"MONTANA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","MONTANA",,"20220202432","POINT (-109.645127 47.033521)"
"NEVADA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-","NEVADA",,"20220202433","POINT (-114.916992 39.283294)"
"NEW MEXICO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","NEW MEXICO",,"20220202434","POINT (-106.108388 34.421369)"
"UTAH","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","UTAH",,"20220202435","POINT (-111.678222 39.323779)"
"WYOMING","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","WYOMING",,"20220202436","POINT (-107.55145 42.999627)"
"PACIFIC","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-",,"PACIFIC","20220202437",
"ALASKA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","ALASKA",,"20220202438","POINT (-151.631889 63.631126)"
"CALIFORNIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220202439","POINT (-119.662127 37.211164)"
"HAWAII","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","HAWAII",,"20220202440","POINT (-157.854309 21.361013)"
"OREGON","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","1","-",,"-",,"-","OREGON",,"20220202441","POINT (-120.605279 43.940449)"
"WASHINGTON","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","WASHINGTON",,"20220202442","POINT (-120.592492 47.411715)"
"US TERRITORIES","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-",,"US TERRITORIES","20220202443",
"AMERICAN SAMOA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","AMERICAN SAMOA",,"20220202444",
"NORTHERN MARIANA ISLANDS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","NORTHERN MARIANA ISLANDS",,"20220202445","POINT (145.725693 15.1834)"
"GUAM","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","GUAM",,"20220202446","POINT (144.653198 13.3532)"
"PUERTO RICO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","PUERTO RICO",,"20220202447","POINT (-66.414655 18.215692)"
"U.S. VIRGIN ISLANDS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-","U.S. VIRGIN ISLANDS",,"20220202448",
"NON-US RESIDENTS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","0","-",,"-",,"-",,"NON-US RESIDENTS","20220202449",
"TOTAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,"-","2","-",,"-",,"-",,"TOTAL","20220202450",
"US RESIDENTS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","8","-","5","-","2","-",,"US RESIDENTS","20220202451",
"NEW ENGLAND","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-",,"NEW ENGLAND","20220202452",
"CONNECTICUT","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","CONNECTICUT",,"20220202453","POINT (-72.738288 41.575155)"
"MAINE","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","MAINE",,"20220202454","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","MASSACHUSETTS",,"20220202455","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","NEW HAMPSHIRE",,"20220202456","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","RHODE ISLAND",,"20220202457","POINT (-71.534637 41.572574)"
"VERMONT","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","VERMONT",,"20220202458","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-",,"-",,"-",,"MIDDLE ATLANTIC","20220202459",
"NEW JERSEY","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","NEW JERSEY",,"20220202460","POINT (-74.655514 40.110253)"
"NEW YORK","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","NEW YORK",,"20220202461","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","NEW YORK CITY",,"20220202462",
"PENNSYLVANIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","PENNSYLVANIA",,"20220202463","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-",,"-",,"EAST NORTH CENTRAL","20220202464",
"ILLINOIS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","ILLINOIS",,"20220202465","POINT (-89.148632 40.124144)"
"INDIANA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-","1","-",,"-","INDIANA",,"20220202466","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","MICHIGAN",,"20220202467","POINT (-85.730977 44.874798)"
"OHIO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","OHIO",,"20220202468","POINT (-82.70936 40.415534)"
"WISCONSIN","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","WISCONSIN",,"20220202469","POINT (-89.732969 44.639954)"
"WEST NORTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-",,"-","1","-",,"WEST NORTH CENTRAL","20220202470",
"IOWA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","IOWA",,"20220202471","POINT (-93.500061 42.074659)"
"KANSAS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","KANSAS",,"20220202472","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","MINNESOTA",,"20220202473","POINT (-94.198308 46.349153)"
"MISSOURI","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","MISSOURI",,"20220202474","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-","1","-","NEBRASKA",,"20220202475","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","NORTH DAKOTA",,"20220202476","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","SOUTH DAKOTA",,"20220202477","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","3","-","1","-",,"-",,"SOUTH ATLANTIC","20220202478",
"DELAWARE","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","DELAWARE",,"20220202479","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220202480","POINT (-77.016275 38.904785)"
"FLORIDA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-",,"-","FLORIDA",,"20220202481","POINT (-82.420978 28.260731)"
"GEORGIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","GEORGIA",,"20220202482","POINT (-83.426574 32.638481)"
"MARYLAND","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-",,"-",,"-","MARYLAND",,"20220202483","POINT (-76.687282 38.946466)"
"NORTH CAROLINA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","NORTH CAROLINA",,"20220202484","POINT (-79.130883 35.52603)"
"SOUTH CAROLINA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-",,"-",,"-","SOUTH CAROLINA",,"20220202485","POINT (-80.864614 33.878572)"
"VIRGINIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","VIRGINIA",,"20220202486","POINT (-78.666382 37.510861)"
"WEST VIRGINIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","WEST VIRGINIA",,"20220202487","POINT (-80.613729 38.642579)"
"EAST SOUTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","3","-",,"-",,"-",,"EAST SOUTH CENTRAL","20220202488",
"ALABAMA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-",,"-",,"-","ALABAMA",,"20220202489","POINT (-86.844516 32.756889)"
"KENTUCKY","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","KENTUCKY",,"20220202490","POINT (-85.290484 37.526683)"
"MISSISSIPPI","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","MISSISSIPPI",,"20220202491","POINT (-89.65344 32.713378)"
"TENNESSEE","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","TENNESSEE",,"20220202492","POINT (-86.343226 35.842998)"
"WEST SOUTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","3","-","1","-",,"-",,"WEST SOUTH CENTRAL","20220202493",
"ARKANSAS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","ARKANSAS",,"20220202494","POINT (-92.439162 34.899825)"
"LOUISIANA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","LOUISIANA",,"20220202495","POINT (-91.840238 30.921314)"
"OKLAHOMA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","OKLAHOMA",,"20220202496","POINT (-97.508297 35.583449)"
"TEXAS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-",,"-","TEXAS",,"20220202497","POINT (-99.317341 31.447238)"
"MOUNTAIN","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-",,"-",,"MOUNTAIN","20220202498",
"ARIZONA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","ARIZONA",,"20220202499","POINT (-111.664616 34.293239)"
"COLORADO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","COLORADO",,"20220202500","POINT (-105.547832 38.998552)"
"IDAHO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","IDAHO",,"20220202501","POINT (-114.659366 44.389073)"
"MONTANA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","MONTANA",,"20220202502","POINT (-109.645127 47.033521)"
"NEVADA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","1","-",,"-",,"-","NEVADA",,"20220202503","POINT (-114.916992 39.283294)"
"NEW MEXICO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","NEW MEXICO",,"20220202504","POINT (-106.108388 34.421369)"
"UTAH","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-",,"-","UTAH",,"20220202505","POINT (-111.678222 39.323779)"
"WYOMING","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","WYOMING",,"20220202506","POINT (-107.55145 42.999627)"
"PACIFIC","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-","1","-",,"PACIFIC","20220202507",
"ALASKA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","ALASKA",,"20220202508","POINT (-151.631889 63.631126)"
"CALIFORNIA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","2","-","1","-","1","-","CALIFORNIA",,"20220202509","POINT (-119.662127 37.211164)"
"HAWAII","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","HAWAII",,"20220202510","POINT (-157.854309 21.361013)"
"OREGON","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","OREGON",,"20220202511","POINT (-120.605279 43.940449)"
"WASHINGTON","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","WASHINGTON",,"20220202512","POINT (-120.592492 47.411715)"
"US TERRITORIES","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-",,"US TERRITORIES","20220202513",
"AMERICAN SAMOA","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","AMERICAN SAMOA",,"20220202514",
"NORTHERN MARIANA ISLANDS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","NORTHERN MARIANA ISLANDS",,"20220202515","POINT (145.725693 15.1834)"
"GUAM","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","GUAM",,"20220202516","POINT (144.653198 13.3532)"
"PUERTO RICO","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","PUERTO RICO",,"20220202517","POINT (-66.414655 18.215692)"
"U.S. VIRGIN ISLANDS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-","U.S. VIRGIN ISLANDS",,"20220202518",
"NON-US RESIDENTS","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","0","-",,"-",,"-",,"NON-US RESIDENTS","20220202519",
"TOTAL","2022","2","Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,"-","8","-","5","-","2","-",,"TOTAL","20220202520",
"US RESIDENTS","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes","12","-","84","-","98","-","62","-",,"US RESIDENTS","20220202521",
"NEW ENGLAND","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","7","-","1","-","2","-",,"NEW ENGLAND","20220202522",
"CONNECTICUT","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-",,"-",,"-","CONNECTICUT",,"20220202523","POINT (-72.738288 41.575155)"
"MAINE","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","1","-",,"-",,"-","MAINE",,"20220202524","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","4","-",,"-",,"-","MASSACHUSETTS",,"20220202525","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","1","-",,"-",,"-","NEW HAMPSHIRE",,"20220202526","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-",,"-",,"-","RHODE ISLAND",,"20220202527","POINT (-71.534637 41.572574)"
"VERMONT","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","1","-","1","-","2","-","VERMONT",,"20220202528","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes","3","-","15","-","19","-","5","-",,"MIDDLE ATLANTIC","20220202529",
"NEW JERSEY","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","3","-",,"-",,"-","NEW JERSEY",,"20220202530","POINT (-74.655514 40.110253)"
"NEW YORK","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","11","-","2","-",,"-","NEW YORK",,"20220202531","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes","3","-","4","-","4","-","3","-","NEW YORK CITY",,"20220202532",
"PENNSYLVANIA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","8","-","13","-","2","-","PENNSYLVANIA",,"20220202533","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","24","-","16","-","16","-",,"EAST NORTH CENTRAL","20220202534",
"ILLINOIS","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","5","-",,"-","2","-","ILLINOIS",,"20220202535","POINT (-89.148632 40.124144)"
"INDIANA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","6","-","2","-","2","-","INDIANA",,"20220202536","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","6","-","3","-","3","-","MICHIGAN",,"20220202537","POINT (-85.730977 44.874798)"
"OHIO","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","16","-","11","-","5","-","OHIO",,"20220202538","POINT (-82.70936 40.415534)"
"WISCONSIN","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","4","-",,"-","4","-","WISCONSIN",,"20220202539","POINT (-89.732969 44.639954)"
"WEST NORTH CENTRAL","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","6","-","6","-","9","-",,"WEST NORTH CENTRAL","20220202540",
"IOWA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","1","-",,"-","1","-","IOWA",,"20220202541","POINT (-93.500061 42.074659)"
"KANSAS","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-",,"-",,"-","KANSAS",,"20220202542","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","1","-",,"-",,"-","MINNESOTA",,"20220202543","POINT (-94.198308 46.349153)"
"MISSOURI","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","5","-","4","-","6","-","MISSOURI",,"20220202544","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-","2","-","1","-","NEBRASKA",,"20220202545","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-",,"-","1","-","NORTH DAKOTA",,"20220202546","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-",,"-",,"-","SOUTH DAKOTA",,"20220202547","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes","4","-","19","-","21","-","15","-",,"SOUTH ATLANTIC","20220202548",
"DELAWARE","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","2","-",,"-",,"-","DELAWARE",,"20220202549","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220202550","POINT (-77.016275 38.904785)"
"FLORIDA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes","4","-","10","-","13","-","5","-","FLORIDA",,"20220202551","POINT (-82.420978 28.260731)"
"GEORGIA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","8","-","2","-","5","-","GEORGIA",,"20220202552","POINT (-83.426574 32.638481)"
"MARYLAND","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","4","-",,"-",,"-","MARYLAND",,"20220202553","POINT (-76.687282 38.946466)"
"NORTH CAROLINA","2022","2","Haemophilus influenzae, invasive disease, All ages, all serotypes",,"-","3","-",,"-","3","-","NORTH CAROLINA",,"20220202554","POINT (-79.130883 35.52603)"
