"mmwr_week_end","pathogen","pct_positive","footnote","age_group","mmwr_week"
"2026-05-02T00:00:00.000","EV-D68","0",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","EV-D68","0",,"5-17 years","17"
"2026-05-02T00:00:00.000","EV-D68","0",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","EV-D68","0",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","EV-D68","0.68",,"All","17"
"2026-05-02T00:00:00.000","EV-D68","0","Calculation is based on fewer than 10 patients in the denominator","--- 0-2 months","17"
"2026-05-02T00:00:00.000","EV-D68","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","EV-D68","0","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","EV-D68","4.17",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","Adenovirus","8.11",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","Adenovirus","0","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","Adenovirus","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","Adenovirus","1.04",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","Adenovirus","6.06",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","Adenovirus","8.26",,"12-59 months","17"
"2026-05-02T00:00:00.000","Adenovirus","4.42",,"All","17"
"2026-05-02T00:00:00.000","Adenovirus","4.76",,"0-11 months","17"
"2026-05-02T00:00:00.000","Adenovirus","0",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","Adenovirus","0.75",,"5-17 years","17"
"2026-05-02T00:00:00.000","Adenovirus","10.91",,"--- 12-23 months","17"
"2026-04-25T00:00:00.000","SARS-CoV-2","0",,"--- 12-17 years","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","1.52",,"All","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","0.76",,"5-17 years","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","2.24",,"12-59 months","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","1.56",,"0-11 months","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","3.57",,"--- 6-11 months","16"
