"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","locationid","topicid","questionid","responseid","datavaluetypeid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
"2021","2021","NM","New Mexico","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence","70.4","70.4",,,"65.4","75.0","Race/Ethnicity","Hispanic",,,,,"POINT (-106.240581 34.52088095200048)","35","ART","ART06",,"CRDPREV","RACE","HIS",,,,
"2019","2019","IA","Iowa","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-93.81649056 42.46940091300047)","19","ART","ART04",,"AGEADJPREV","RACE","MRC",,,,
"2022","2022","OR","Oregon","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","23.5","23.5",,,"19.1","28.6","Sex","Male",,,,,"POINT (-120.1550313 44.56744942400047)","41","ART","ART05",,"CRDPREV","SEX","SEXM",,,,
"2023","2023","CO","Colorado","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-106.1336109 38.843840757000464)","08","ART","ART05",,"AGEADJPREV","RACE","BLK",,,,
"2021","2021","DE","Delaware","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","34.8","34.8",,,"31.2","38.6","Overall","Overall",,,,,"POINT (-75.57774117 39.008830667000495)","10","ART","ART05",,"CRDPREV","OVERALL","OVR",,,,
"2019","2019","NM","New Mexico","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","37.4","37.4",,,"32.3","42.8","Race/Ethnicity","Hispanic",,,,,"POINT (-106.240581 34.52088095200048)","35","ART","ART05",,"CRDPREV","RACE","HIS",,,,
"2022","2022","SC","South Carolina","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-81.04537121 33.998821303000454)","45","ART","ART05",,"CRDPREV","RACE","ASN",,,,
"2021","2021","DE","Delaware","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Crude Prevalence","40.3","40.3",,,"31.6","49.7","Sex","Male",,,,,"POINT (-75.57774117 39.008830667000495)","10","ART","ART04",,"CRDPREV","SEX","SEXM",,,,
"2021","2021","MO","Missouri","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-92.56630005 38.635790776000476)","29","ART","ART04",,"AGEADJPREV","RACE","AIAN",,,,
"2019","2019","DE","Delaware","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Hispanic",,,,,"POINT (-75.57774117 39.008830667000495)","10","ART","ART06",,"CRDPREV","RACE","HIS",,,,
"2020","2020","WV","West Virginia","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","26.5","26.5",,,"20.5","33.5","Age","Age 18-44",,,,,"POINT (-80.71264013 38.66551020200046)","54","ART","ART05",,"CRDPREV","AGE","AGE1844",,,,
"2021","2021","WY","Wyoming","BRFSS","Arthritis","Severe joint pain among adults with arthritis",,"%","Age-adjusted Prevalence","27.8","27.8",,,"23.8","32.3","Sex","Male",,,,,"POINT (-108.1098304 43.23554134300048)","56","ART","ART03",,"AGEADJPREV","SEX","SEXM",,,,
