"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","locationid","topicid","questionid","responseid","datavaluetypeid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
"2020","2020","WV","West Virginia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.5","2.5",,,"1.8","3.5","Age","Age 45-64",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC04",,"CRDMEDN","AGE","AGE4564",,,,
"2019","2019","ME","Maine","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","7.4","7.4",,,"6.3","9.1","Age","Age 45-64",,,,,"POINT (-68.98503134 45.254228894000505)","23","ALC","ALC05",,"CRD75TH","AGE","AGE4564",,,,
"2021","2021","DC","District of Columbia","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","22.9","22.9",,,"19.9","26.2","Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-77.036871 38.907192)","11","ALC","ALC01",,"CRDPREV","RACE","MRC",,,,
"2019","2019","AR","Arkansas","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","4.4","4.4",,,"4.0","4.7","Age","Age >=65",,,,,"POINT (-92.27449074 34.74865012400045)","05","ALC","ALC05",,"CRDMEDN","AGE","AGE65P",,,,
"2022","2022","KS","Kansas","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","8.9","8.9",,,"7.8","9.3","Overall","Overall",,,,,"POINT (-98.20078123 38.34774030000045)","20","ALC","ALC05",,"CRD75TH","OVERALL","OVR",,,,
"2019","2019","VT","Vermont","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.7","4.7",,,"4.0","5.6","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-72.51764079 43.62538123900049)","50","ALC","ALC04",,"CRD75TH","RACE","WHT",,,,
"2023","2023","DC","District of Columbia","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Age","Age 45-64",,,,,"POINT (-77.036871 38.907192)","11","ALC","ALC05",,"CRDMEDN","AGE","AGE4564",,,,
"2022","2022","FL","Florida","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-81.92896054 28.932040377000476)","12","ALC","ALC05",,"CRD75TH","RACE","MRC",,,,
"2023","2023","DE","Delaware","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.7","3.7",,,"3.1","4.4","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-75.57774117 39.008830667000495)","10","ALC","ALC04",,"CRD75TH","RACE","WHT",,,,
"2021","2021","OH","Ohio","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-82.40426006 40.06021014100048)","39","ALC","ALC04",,"CRDMEDN","RACE","AIAN",,,,
"2022","2022","NC","North Carolina","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-79.15925046 35.466220975000454)","37","ALC","ALC05",,"CRD75TH","RACE","ASN",,,,
"2021","2021","NH","New Hampshire","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-71.50036092 43.65595011300047)","33","ALC","ALC04",,"CRD75TH","RACE","AIAN",,,,
"2022","2022","WI","Wisconsin","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.1","2.1",,,"1.8","2.6","Age","Age 45-64",,,,,"POINT (-89.81637074 44.39319117400049)","55","ALC","ALC04",,"CRDMEDN","AGE","AGE4564",,,,
"2022","2022","MD","Maryland","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-76.60926011 39.29058096400047)","24","ALC","ALC04",,"CRDMEDN","RACE","ASN",,,,
"2021","2021","MO","Missouri","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-92.56630005 38.635790776000476)","29","ALC","ALC04",,"CRD75TH","RACE","AIAN",,,,
"2019","2019","KS","Kansas","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","35.5","35.5",,,"31.3","39.9","Sex","Female",,,,,"POINT (-98.20078123 38.34774030000045)","20","ALC","ALC01",,"CRDPREV","SEX","SEXF",,,,
"2021","2021","CO","Colorado","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","9.0","9.0",,,"5.5","14.2","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-106.1336109 38.843840757000464)","08","ALC","ALC01",,"CRDPREV","RACE","BLK",,,,
"2019","2019","MI","Michigan","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-84.71439027 44.66131954)","26","ALC","ALC05",,"CRD75TH","RACE","AIAN",,,,
"2023","2023","OH","Ohio","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.7","4.7",,,"3.1","7.6","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-82.40426006 40.06021014100048)","39","ALC","ALC04",,"CRD75TH","RACE","BLK",,,,
"2023","2023","VA","Virginia","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","25.2","25.2",,,"21.3","29.6","Grade","Grade 12",,,,,"POINT (-78.45789046 37.54268067400045)","51","ALC","ALC01",,"CRDPREV","GRADE","GRD12",,,,
"2023","2023","NE","Nebraska","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","1.5","1.5",,,"1.2","1.8","Sex","Female",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC04",,"CRDMEDN","SEX","SEXF",,,,
"2023","2023","OH","Ohio","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-82.40426006 40.06021014100048)","39","ALC","ALC04",,"CRD75TH","RACE","ASN",,,,
"2020","2020","WV","West Virginia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.3","2.3",,,"1.8","3.0","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC04",,"CRDMEDN","RACE","WHT",,,,
"2022","2022","CO","Colorado","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-106.1336109 38.843840757000464)","08","ALC","ALC04",,"CRDMEDN","RACE","AIAN",,,,
"2020","2020","DC","District of Columbia","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-77.036871 38.907192)","11","ALC","ALC05",,"CRD75TH","RACE","MRC",,,,
"2022","2022","CO","Colorado","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.0","4.0",,,"3.7","4.4","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-106.1336109 38.843840757000464)","08","ALC","ALC04",,"CRD75TH","RACE","WHT",,,,
"2022","2022","FL","Florida","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","5.1","5.1",,,"4.5","6.6","Sex","Male",,,,,"POINT (-81.92896054 28.932040377000476)","12","ALC","ALC04",,"CRD75TH","SEX","SEXM",,,,
"2019","2019","MA","Massachusetts","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","26.3","26.3",,,"20.8","32.6","Grade","Grade 10",,,,,"POINT (-72.08269067 42.27687047000046)","25","ALC","ALC01",,"CRDPREV","GRADE","GRD10",,,,
"2020","2020","MD","Maryland","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","7.2","7.2",,,"6.7","7.7","Overall","Overall",,,,,"POINT (-76.60926011 39.29058096400047)","24","ALC","ALC05",,"CRD75TH","OVERALL","OVR",,,,
"2019","2019","KY","Kentucky","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-84.77497105 37.645970271000465)","21","ALC","ALC04",,"CRD75TH","RACE","BLK",,,,
"2019","2019","GU","Guam","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC01",,"CRDPREV","RACE","BLK",,,,
"2022","2022","NJ","New Jersey","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","7.4","7.4",,,"5.8","8.4","Race/Ethnicity","Hispanic",,,,,"POINT (-74.27369129 40.13057004800049)","34","ALC","ALC05",,"CRD75TH","RACE","HIS",,,,
"2021","2021","AZ","Arizona","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-111.7638113 34.865970280000454)","04","ALC","ALC01",,"CRDPREV","RACE","AIAN",,,,
"2022","2022","WA","Washington","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.7","3.7",,,"2.9","4.4","Race/Ethnicity","Hispanic",,,,,"POINT (-120.4700108 47.52227862900048)","53","ALC","ALC04",,"CRD75TH","RACE","HIS",,,,
"2020","2020","IA","Iowa","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-93.81649056 42.46940091300047)","19","ALC","ALC04",,"CRDMEDN","RACE","BLK",,,,
"2021","2021","NM","New Mexico","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","5.3","5.3",,,"5.0","5.6","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-106.240581 34.52088095200048)","35","ALC","ALC05",,"CRDMEDN","RACE","WHT",,,,
"2019","2019","CO","Colorado","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","7.4","7.4",,,"7.1","7.7","Overall","Overall",,,,,"POINT (-106.1336109 38.843840757000464)","08","ALC","ALC05",,"CRD75TH","OVERALL","OVR",,,,
"2020","2020","OH","Ohio","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.6","4.6",,,"4.0","5.1","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-82.40426006 40.06021014100048)","39","ALC","ALC04",,"CRD75TH","RACE","WHT",,,,
"2022","2022","AZ","Arizona","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.6","3.6",,,"3.1","4.0","Sex","Female",,,,,"POINT (-111.7638113 34.865970280000454)","04","ALC","ALC04",,"CRD75TH","SEX","SEXF",,,,
"2019","2019","IL","Illinois","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.2","4.2",,,"3.9","4.6","Overall","Overall",,,,,"POINT (-88.99771018 40.48501028300046)","17","ALC","ALC04",,"CRD75TH","OVERALL","OVR",,,,
"2022","2022","NV","Nevada","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","7.7","7.7",,,"6.0","9.7","Age","Age 45-64",,,,,"POINT (-117.0718406 39.493240390000494)","32","ALC","ALC05",,"CRD75TH","AGE","AGE4564",,,,
"2019","2019","MS","Mississippi","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","36.4","36.4",,,"30.2","43.2","Grade","Grade 12",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC01",,"CRDPREV","GRADE","GRD12",,,,
"2022","2022","MS","Mississippi","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC05",,"CRDMEDN","RACE","ASN",,,,
"2021","2021","NC","North Carolina","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-79.15925046 35.466220975000454)","37","ALC","ALC01",,"CRDPREV","RACE","HAPI",,,,
"2023","2023","VT","Vermont","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","39.1","39.1",,,"37.1","41.1","Grade","Grade 12",,,,,"POINT (-72.51764079 43.62538123900049)","50","ALC","ALC01",,"CRDPREV","GRADE","GRD12",,,,
"2020","2020","VA","Virginia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-78.45789046 37.54268067400045)","51","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2021","2021","AL","Alabama","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-86.63186076 32.84057112200048)","01","ALC","ALC05",,"CRDMEDN","RACE","MRC",,,,
"2021","2021","GA","Georgia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-83.62758035 32.83968109300048)","13","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2021","2021","LA","Louisiana","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.6","3.6",,,"2.8","4.3","Sex","Female",,,,,"POINT (-92.44568007 31.31266064400046)","22","ALC","ALC04",,"CRD75TH","SEX","SEXF",,,,
"2023","2023","NV","Nevada","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-117.0718406 39.493240390000494)","32","ALC","ALC05",,"CRDMEDN","RACE","ASN",,,,
"2019","2019","VT","Vermont","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","1.7","1.7",,,"1.3","2.3","Age","Age >=65",,,,,"POINT (-72.51764079 43.62538123900049)","50","ALC","ALC04",,"CRDMEDN","AGE","AGE65P",,,,
"2019","2019","MN","Minnesota","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"*","No data available",,,"Grade","Grade 12",,,,,"POINT (-94.7942005 46.35564873600049)","27","ALC","ALC01",,"CRDPREV","GRADE","GRD12",,,,
"2023","2023","SC","South Carolina","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","1.7","1.7",,,"1.5","1.9","Overall","Overall",,,,,"POINT (-81.04537121 33.998821303000454)","45","ALC","ALC04",,"CRDMEDN","OVERALL","OVR",,,,
"2019","2019","RI","Rhode Island","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"*","No data available",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-71.52247031 41.70828019300046)","44","ALC","ALC04",,"CRD75TH","RACE","HAPI",,,,
"2023","2023","AR","Arkansas","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-92.27449074 34.74865012400045)","05","ALC","ALC04",,"CRDMEDN","RACE","HAPI",,,,
"2019","2019","NH","New Hampshire","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","1.8","1.8",,,"1.5","2.2","Age","Age 45-64",,,,,"POINT (-71.50036092 43.65595011300047)","33","ALC","ALC04",,"CRDMEDN","AGE","AGE4564",,,,
"2021","2021","GU","Guam","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Age","Age >=65",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC05",,"CRD75TH","AGE","AGE65P",,,,
"2020","2020","GU","Guam","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Age-adjusted Prevalence","7.4","7.4",,,"5.7","9.6","Sex","Female",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC06",,"AGEADJPREV","SEX","SEXF",,,,
"2020","2020","SC","South Carolina","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-81.04537121 33.998821303000454)","45","ALC","ALC05",,"CRDMEDN","RACE","ASN",,,,
"2019","2019","LA","Louisiana","NVSS","Alcohol","Chronic liver disease mortality among all people, underlying cause",,"Number","Number",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-92.44568007 31.31266064400046)","22","ALC","ALC09",,"NMBR","RACE","ASN",,,,
"2020","2020","TN","Tennessee","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-85.77449091 35.68094058000048)","47","ALC","ALC05",,"CRD75TH","RACE","ASN",,,,
"2019","2019","OK","Oklahoma","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","9.1","9.1",,,"7.7","9.7","Age","Age 18-44",,,,,"POINT (-97.52107021 35.47203135600046)","40","ALC","ALC05",,"CRD75TH","AGE","AGE1844",,,,
"2019","2019","WV","West Virginia","YRBSS","Alcohol","Binge drinking prevalence among high school students",,"%","Crude Prevalence","13.3","13.3",,,"8.9","19.5","Grade","Grade 9",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC07",,"CRDPREV","GRADE","GRD9",,,,
"2023","2023","MS","Mississippi","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","14.2","14.2",,,"12.3","16.3","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC06",,"CRDPREV","RACE","WHT",,,,
"2023","2023","NV","Nevada","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Age-adjusted Prevalence","15.1","15.1",,,"10.6","21.2","Race/Ethnicity","Hispanic",,,,,"POINT (-117.0718406 39.493240390000494)","32","ALC","ALC06",,"AGEADJPREV","RACE","HIS",,,,
"2023","2023","TN","Tennessee","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","3.0","3.0",,,"2.2","4.3","Age","Age >=65",,,,,"POINT (-85.77449091 35.68094058000048)","47","ALC","ALC06",,"CRDPREV","AGE","AGE65P",,,,
"2022","2022","NE","Nebraska","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","19.3","19.3",,,"18.0","20.8","Overall","Overall",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC06",,"CRDPREV","OVERALL","OVR",,,,
"2019","2019","MT","Montana","YRBSS","Alcohol","Binge drinking prevalence among high school students",,"%","Crude Prevalence","11.4","11.4",,,"9.0","14.3","Grade","Grade 9",,,,,"POINT (-109.4244206 47.06652897200047)","30","ALC","ALC07",,"CRDPREV","GRADE","GRD9",,,,
"2019","2019","AR","Arkansas","NVSS","Alcohol","Chronic liver disease mortality among all people, underlying cause",,"cases per 100,000","Age-adjusted Rate","16.6","16.6",,,"14.6","18.6","Sex","Male",,,,,"POINT (-92.27449074 34.74865012400045)","05","ALC","ALC09",,"AGEADJRATE","SEX","SEXM",,,,
"2021","2021","HI","Hawaii","NVSS","Alcohol","Chronic liver disease mortality among all people, underlying cause",,"cases per 100,000","Crude Rate",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-157.8577494 21.304850435000446)","15","ALC","ALC09",,"CRDRATE","RACE","AIAN",,,,
"2022","2022","GU","Guam","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","5.4","5.4",,,"3.7","7.8","Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC05",,"CRDMEDN","RACE","ASN",,,,
"2020","2020","WV","West Virginia","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","3.4","3.4",,,"2.6","4.4","Age","Age >=65",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC06",,"CRDPREV","AGE","AGE65P",,,,
"2019","2019","CA","California","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-120.9999995 37.63864012300047)","06","ALC","ALC06",,"CRDPREV","RACE","AIAN",,,,
"2019","2019","KS","Kansas","NVSS","Alcohol","Chronic liver disease mortality among all people, underlying cause",,"Number","Number",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-98.20078123 38.34774030000045)","20","ALC","ALC09",,"NMBR","RACE","AIAN",,,,
"2019","2019","GU","Guam","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Age-adjusted Prevalence",,,"*","No data available",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC06",,"AGEADJPREV","RACE","AIAN",,,,
"2020","2020","MO","Missouri","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-92.56630005 38.635790776000476)","29","ALC","ALC06",,"CRDPREV","RACE","AIAN",,,,
"2020","2020","VT","Vermont","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"*","No data available",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-72.51764079 43.62538123900049)","50","ALC","ALC05",,"CRD75TH","RACE","HAPI",,,,
"2023","2023","WV","West Virginia","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"*","No data available",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC05",,"CRD75TH","RACE","AIAN",,,,
"2022","2022","MO","Missouri","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","14.4","14.4",,,"12.8","16.1","Sex","Female",,,,,"POINT (-92.56630005 38.635790776000476)","29","ALC","ALC06",,"CRDPREV","SEX","SEXF",,,,
"2019","2019","NE","Nebraska","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","15.0","15.0",,,"10.5","21.1","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC06",,"CRDPREV","RACE","BLK",,,,
"2019","2019","TX","Texas","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","4.6","4.6",,,"4.3","5.1","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-99.42677021 31.827240407000488)","48","ALC","ALC05",,"CRDMEDN","RACE","BLK",,,,
"2023","2023","NE","Nebraska","YRBSS","Alcohol","Binge drinking prevalence among high school students",,"%","Crude Prevalence",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC07",,"CRDPREV","RACE","ASN",,,,
"2020","2020","AZ","Arizona","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Crude Prevalence","17.1","17.1",,,"14.9","19.5","Race/Ethnicity","Hispanic",,,,,"POINT (-111.7638113 34.865970280000454)","04","ALC","ALC06",,"CRDPREV","RACE","HIS",,,,
"2022","2022","SD","South Dakota","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Age-adjusted Prevalence","16.8","16.8",,,"9.8","27.3","Race/Ethnicity","Hispanic",,,,,"POINT (-100.3735306 44.353130053000484)","46","ALC","ALC06",,"AGEADJPREV","RACE","HIS",,,,
"2019","2019","NV","Nevada","YRBSS","Alcohol","Binge drinking prevalence among high school students",,"%","Crude Prevalence","15.1","15.1",,,"11.7","19.4","Grade","Grade 11",,,,,"POINT (-117.0718406 39.493240390000494)","32","ALC","ALC07",,"CRDPREV","GRADE","GRD11",,,,
"2023","2023","CT","Connecticut","YRBSS","Alcohol","Binge drinking prevalence among high school students",,"%","Crude Prevalence","3.9","3.9",,,"2.1","7.3","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-72.64984095 41.56266102000046)","09","ALC","ALC07",,"CRDPREV","RACE","BLK",,,,
"2023","2023","AL","Alabama","BRFSS","Alcohol","Binge drinking prevalence among adults",,"%","Age-adjusted Prevalence","9.8","9.8",,,"8.2","11.7","Sex","Female",,,,,"POINT (-86.63186076 32.84057112200048)","01","ALC","ALC06",,"AGEADJPREV","SEX","SEXF",,,,
"2021","2021","ID","Idaho","NVSS","Alcohol","Chronic liver disease mortality among all people, underlying cause",,"Number","Number","98.0","98.0",,,,,"Age","Age >=65",,,,,"POINT (-114.36373 43.682630005000476)","16","ALC","ALC09",,"NMBR","AGE","AGE65P",,,,
