"vaccine","influenza_season","geographic_level","geographic_name","demographic_level","demographic_name","indicator_label","indicator_category_label","month_week","week_ending","nd_weekly_estimate","ci_half_width_90pct","ci_half_width_95pct","n_weighted","n_unweighted","suppression_flag","data_source"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","November Week 5","2025-11-29","33.4005","1.97","2.3472","N/A","6679","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","December Week 1","2025-12-06","41.2817","0.7528","0.897","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","December Week 1","2025-12-06","41.2817","0.7528","0.897","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 1","2025-12-06","8.9479","1.0911","1.3","N/A","8348","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 1","2025-12-06","17.5971","1.5598","1.8585","N/A","8348","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","December Week 1","2025-12-06","32.1732","1.847","2.2007","N/A","8348","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","December Week 2","2025-12-13","41.4897","0.7032","0.8378","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","December Week 2","2025-12-13","41.4897","0.7032","0.8378","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2025-12-13","7.4483","0.9166","1.0922","N/A","8310","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 2","2025-12-13","17.4723","1.4162","1.6874","N/A","8310","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","December Week 2","2025-12-13","33.5897","1.7533","2.089","N/A","8310","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","December Week 3","2025-12-20","42.3178","1.091","1.3","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","December Week 3","2025-12-20","42.3178","1.091","1.3","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 3","2025-12-20","7.7824","0.9505","1.1325","N/A","8611","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 3","2025-12-20","18.029","1.4593","1.7387","N/A","8611","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","December Week 3","2025-12-20","31.8708","1.6886","2.012","N/A","8611","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","December Week 4","2025-12-27","42.9286","0.5947","0.7086","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","December Week 4","2025-12-27","42.9286","0.5947","0.7086","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 4","2025-12-27","7.2601","1.1216","1.3364","N/A","4895","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 4","2025-12-27","17.6185","1.773","2.1126","N/A","4895","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","December Week 4","2025-12-27","32.1928","2.2382","2.6668","N/A","4895","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","January Week 1","2026-01-03","43.5394","0.5947","0.7086","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","January Week 1","2026-01-03","43.5394","0.5947","0.7086","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","January Week 1","2026-01-03","6.1206","1.2152","1.4479","N/A","4980","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","January Week 1","2026-01-03","19.1083","2.7772","3.309","N/A","4980","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","January Week 1","2026-01-03","31.2317","2.6844","3.1985","N/A","4980","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","January Week 2","2026-01-10","44.3373","0.6766","0.8062","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","January Week 2","2026-01-10","44.3373","0.6766","0.8062","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","January Week 2","2026-01-10","6.0179","0.9286","1.1064","N/A","10444","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","January Week 2","2026-01-10","16.0599","1.3494","1.6078","N/A","10444","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","January Week 2","2026-01-10","33.5849","1.6412","1.9554","N/A","10444","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","January Week 3","2026-01-17","44.9299","0.7855","0.9359","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","January Week 3","2026-01-17","44.9299","0.7855","0.9359","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","January Week 3","2026-01-17","4.8106","0.644","0.7673","N/A","10999","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","January Week 3","2026-01-17","15.5847","1.1897","1.4175","N/A","10999","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","January Week 3","2026-01-17","34.6748","1.6836","2.0059","N/A","10999","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","January Week 4","2026-01-24","44.9831","0.69","0.8222","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","January Week 4","2026-01-24","44.9831","0.69","0.8222","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","January Week 4","2026-01-24","4.336","0.7699","0.9173","N/A","9962","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","January Week 4","2026-01-24","16.8671","1.4616","1.7414","N/A","9962","0","NIS-ACM"
