"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2025 Q4","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","11.6","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","17.4","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","16.2","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.0","per 1,000 population",
"2025 Q4","Birth Rates","General Fertility Rates","15-44 years","All races and origins","53.3","per 1,000 population",
"2025 Q4","Birth Rates","General Fertility Rates","15-44 years","Hispanic","62.3","per 1,000 population",
"2025 Q4","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","48.9","per 1,000 population",
"2025 Q4","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","52","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.2","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","11.6","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","17.4","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","16.2","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.0","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","53.2","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","73.8","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","60.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","46","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","88.6","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","107.7","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","77.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.4","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","94.4","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","99.3","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","72.3","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","99.7","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","54.8","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","58","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","47.3","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","53.9","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.8","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","14.9","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","11.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2025 Q4","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.4","per 1,000 population",
