"state","year","month","period","indicator","data_value","percent_complete","percent_pending_investigation","state_name","footnote","footnote_symbol","predicted_value"
"AL","2022","February","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"99.5","0.114102121398652","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2022","March","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.118723794352354","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2022","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","487","100","0.134597643785067","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","491"
"AL","2022","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","497","100","0.141281560477623","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","502"
"AL","2022","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","511","100","0.155140158486319","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","517"
"AL","2022","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","527","100","0.172009620361068","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","534"
"AL","2022","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","551","100","0.187905170523942","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","559"
"AL","2022","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","538","100","0.192590914240399","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","547"
"AL","2022","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","561","100","0.207309707644341","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","571"
"AL","2022","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","576","100","0.233950657679471","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","588"
"AL","2022","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","576","100","0.237211052399104","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","588"
"AL","2023","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","596","100","0.245819397993311","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","609"
"AL","2023","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","593","100","0.240528138380444","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","606"
"AL","2023","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","614","100","0.240688266020279","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","627"
"AL","2023","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","631","100","0.235153787168782","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","644"
"AL","2023","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","629","100","0.235581241631781","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","642"
"AL","2023","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","628","100","0.231202080818727","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","641"
"AL","2023","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","637","100","0.233255014131508","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","650"
"AL","2023","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","621","100","0.228081224149376","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","634"
"AL","2023","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","625","100","0.223416048435235","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","637"
"AL","2023","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","603","100","0.21801826546728","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","614"
"AL","2023","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","597","100","0.208397919465399","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","608"
"AL","2023","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","605","100","0.221626636429234","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","617"
"AL","2024","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","593","100","0.213496387641121","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","604"
"AL","2024","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","588","100","0.218579234972678","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","599"
"AL","2024","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","574","100","0.217134845868454","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","585"
"AL","2024","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","566","100","0.204757192096372","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","576"
"AL","2024","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","556","100","0.202495152128773","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","565"
"AL","2024","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","547","100","0.202193283070596","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","556"
"AL","2024","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","516","100","0.185452297547909","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","524"
"AL","2024","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","524","100","0.175257731958763","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","531"
"AL","2024","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","511","100","0.181874335129199","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","518"
"AL","2024","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","507","100","0.171582505447745","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","514"
"AL","2024","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","501","100","0.154964013912325","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","507"
"AL","2024","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","491","100","0.132983316638458","Alabama","Numbers may differ from published reports using final data. See Technical Notes.","**","495"
"AL","2025","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","486","100","0.135960760691851","Alabama","Underreported due to incomplete data.","*","489"
"AL","2025","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","469","100","0.127149951030086","Alabama","Underreported due to incomplete data.","*","471"
"AL","2025","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","454","100","0.129963405041212","Alabama","Underreported due to incomplete data.","*","457"
"AL","2025","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","442","100","0.138791316118641","Alabama","Underreported due to incomplete data.","*","445"
"AL","2025","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","421","100","0.146928176040456","Alabama","Underreported due to incomplete data.","*","425"
"AL","2025","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","417","100","0.15002471998227","Alabama","Underreported due to incomplete data.","*","421"
"AL","2025","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","410","100","0.156641070607665","Alabama","Underreported due to incomplete data.","*","415"
"AL","2025","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","383","100","0.168846895093207","Alabama","Underreported due to incomplete data.","*","390"
"AL","2025","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","378","100","0.176071385835655","Alabama","Underreported due to incomplete data.","*","385"
"AL","2025","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","362","100","0.196799863095747","Alabama","Underreported due to incomplete data.","*","369"
"AL","2025","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","350","100","0.228626025831329","Alabama","Underreported due to incomplete data.","*","358"
"AL","2015","January","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.337080919605191","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","February","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.323974082073434","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","March","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.30899655349998","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","April","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.316424404232176","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","May","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.318710903476126","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","June","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.341505783884085","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","July","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.330441966129699","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","August","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.331827999214608","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","September","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.323250528955411","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","October","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.309252118768472","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2015","November","12 month-ending","Synthetic opioids, excl. methadone (T40.4)",,"100","0.2935822911162","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
