"data_as_of","start_date","end_date","group","year","month","state","condition_group","condition","icd10_codes","age_group","covid_19_deaths","number_of_mentions","flag"
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","85+","98964","102097",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","Not stated","6","6",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","All Ages","436333","450852",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","0-24","83","83",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","25-34","232","232",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","35-44","542","542",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","45-54","1286","1286",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","55-64","3007","3007",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","65-74","4940","4940",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","75-84","6211","6211",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","85+","7064","7064",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","Not stated","0","0",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory arrest","R09.2","All Ages","23365","23365",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24","400","440",
