stateabbr,measureid,data_value_type,data_value,population
AR,GHLTH,CrdPrv,24.4,3067732
AR,HEARING,AgeAdjPrv,7.4,3067732
AR,HEARING,CrdPrv,8.6,3067732
AR,HIGHCHOL,AgeAdjPrv,33.2,3067732
AR,HIGHCHOL,CrdPrv,37.9,3067732
AR,HOUSINSECU,AgeAdjPrv,15.6,3067732
AR,HOUSINSECU,CrdPrv,14.4,3067732
AR,INDEPLIVE,AgeAdjPrv,9.8,3067732
AR,INDEPLIVE,CrdPrv,10.0,3067732
AR,LACKTRPT,AgeAdjPrv,10.2,3067732
AR,LACKTRPT,CrdPrv,9.7,3067732
AR,LONELINESS,AgeAdjPrv,35.0,3067732
AR,LONELINESS,CrdPrv,34.2,3067732
AR,LPA,AgeAdjPrv,31.1,3067732
AR,LPA,CrdPrv,32.1,3067732
AR,MAMMOUSE,AgeAdjPrv,70.7,3067732
AR,MAMMOUSE,CrdPrv,71.4,3067732
AR,MHLTH,AgeAdjPrv,19.5,3067732
AR,MHLTH,CrdPrv,18.5,3067732
AR,MOBILITY,AgeAdjPrv,15.5,3067732
AR,MOBILITY,CrdPrv,17.6,3067732
AR,OBESITY,AgeAdjPrv,39.5,3067732
AR,OBESITY,CrdPrv,39.3,3067732
AR,PHLTH,AgeAdjPrv,14.8,3067732
AR,PHLTH,CrdPrv,15.6,3067732
AR,SELFCARE,AgeAdjPrv,4.2,3067732
AR,SELFCARE,CrdPrv,4.6,3067732
AR,SHUTUTILITY,AgeAdjPrv,11.4,3067732
AR,SHUTUTILITY,CrdPrv,10.4,3067732
AR,SLEEP,AgeAdjPrv,39.1,3067732
AR,SLEEP,CrdPrv,38.1,3067732
AR,STROKE,AgeAdjPrv,3.4,3067732
AR,STROKE,CrdPrv,4.0,3067732
AR,TEETHLOST,AgeAdjPrv,18.9,3067732
AR,TEETHLOST,CrdPrv,18.6,3067732
AR,VISION,AgeAdjPrv,5.8,3067732
AR,VISION,CrdPrv,6.2,3067732
AZ,ACCESS2,AgeAdjPrv,13.6,7431344
AZ,ACCESS2,CrdPrv,13.3,7431344
AZ,ARTHRITIS,AgeAdjPrv,21.8,7431344
AZ,ARTHRITIS,CrdPrv,25.2,7431344
AZ,BINGE,AgeAdjPrv,16.7,7431344
AZ,BINGE,CrdPrv,15.4,7431344
AZ,BPHIGH,AgeAdjPrv,29.3,7431344
AZ,BPHIGH,CrdPrv,32.7,7431344
AZ,BPMED,AgeAdjPrv,53.6,7431344
AZ,BPMED,CrdPrv,73.9,7431344
AZ,CANCER,AgeAdjPrv,7.2,7431344
AZ,CANCER,CrdPrv,8.8,7431344
AZ,CASTHMA,AgeAdjPrv,10.5,7431344
AZ,CASTHMA,CrdPrv,10.4,7431344
AZ,CHD,AgeAdjPrv,5.2,7431344
AZ,CHD,CrdPrv,6.4,7431344
AZ,CHECKUP,AgeAdjPrv,71.8,7431344
AZ,CHECKUP,CrdPrv,73.9,7431344
AZ,CHOLSCREEN,AgeAdjPrv,83.7,7431344
AZ,CHOLSCREEN,CrdPrv,85.1,7431344
AZ,COGNITION,AgeAdjPrv,14.7,7431344
AZ,COGNITION,CrdPrv,14.2,7431344
AZ,COLON_SCREEN,AgeAdjPrv,54.7,7431344
AZ,COLON_SCREEN,CrdPrv,60.1,7431344
AZ,COPD,AgeAdjPrv,5.7,7431344
AZ,COPD,CrdPrv,6.6,7431344
